3rr3/1b5Q/p2pp1p1/2p1k1q1/1nP1P3/1PN5/P5BP/5R1K w - -,f2f3 g4f6 h4h5 f8h8 g2g4 b7b5 e1a1 b5b4 c3e2 a7a5,Mate
4rrk1/pb1q3p/1p4p1/2ppp3/2N2P1Q/2P1P1P1/PP5P/R3R1K1 w - -,,0
8/2k2p1p/4pP2/3pP1p1/1P1P2P1/1K6/8/8 w - -,,0
r2q1rk1/4np2/p2pb1pp/n1p1p3/Pp2P3/1P1B1NNP/1RPPQPP1/4R1K1 w - -,d3a6 f7f5 e4f5 g6f5 a6b5 e7d5 f3e5 d5f4 e2f3 d6e5,67
r2qk2r/pp1n1ppb/2pbpn1p/4N3/2BP3P/6N1/PPP1QPP1/R1B2RK1 w kq -,e5f7 d8e7 f7h8 e8a8 e2e6 d8h8 e6e7 d6e7 f1e1 e7d6,486
r1bqkb1r/2p2ppp/p1n1p3/1p1nN3/2pP4/4P1P1/PP3PBP/RNBQ1RK1 w kq -,e5c6 d8d6 c6a5 c7c5 e3e4 d5b6 d4d5 d6c7 b1c3 f8d6,444
rnbq1r2/pp2ppkp/2pp1np1/8/3PP2P/2N2P2/PPPQ2P1/R3KBNR w KQ -,h4h5 e7e5 h5g6 f7g6 d2h6 g7g8 f1c4 g8h8 e1a1 d8e7,230
r1b1kb1r/ppp1q1pp/2np4/4pnN1/2B5/3P4/PPP2PPP/RNBQ1RK1 w kq -,b1c3 c6d8 c3d5 e7d7 d1h5 g7g6 d5f6 e8e7 h5h7 h8h7,389
r1bq1rk1/pp1n1nbp/2pp1pp1/4p3/2PPP3/2N1BN2/PPQ1BPPP/R4RK1 w - -,a1d1 d8e7 b2b4 g7h6 e3h6 f7h6 a2a4 h6f7 a4a5 a8b8,98
1q2r1k1/4rpp1/ppPp1bn1/3P3p/5P2/1P2B1PP/P2Q2BK/3RR3 w - -,h3h4 b8c8 e3f2 b6b5 g2h3 c8c7 e1e7 g6e7 d1e1 e8f8,352
r3kb1r/pp3p1p/4bp2/1q1p4/3N4/2P4P/PP3PP1/RN2K2R w KQkq -,d4b5 e8d7 b1d2 e6f5 b5d4 f5d3 d2f1 a8e8 e1d2 d3e4,33
rnbqkb1r/3n1pp1/p7/1p2pN2/3pP2p/3B1P2/PPP3PP/RNBQ1RK1 w kq -,b1d2 g7g6 a2a4 g6f5 e4f5 c8b7 d2e4 h4h3 g2g4 d8b6,-192
r1b1k2r/p3pp1p/3p2p1/q1pP2Q1/Np2nPn1/1P6/P1P3PP/R3KBNR w KQkq -,g5h4 g4e3 a1c1 c8d7 f4f5 g6f5 h4h6 e3g4 h6g7 e8a8,-488
rn1q1rk1/pbp1bppp/1p3n2/3p4/3P1N2/P1N1P3/1P1B1PPP/R2QKB1R w KQ -,f1b5 c7c5 e1h1 b8a6 b5e2 a6c7 d4c5 b6c5 c3a4 c7e6,-18
r2q1rk1/4n3/B2pb2p/n1p1pp2/Pp6/1P3NNP/1RPPQPP1/4R1K1 w - -,a6b5 e7c6 c2c3 g8h7 c3b4 c6b4 d2d4 e5e4 d4c5 d6c5,96
4r2r/pkp3pp/1p2N3/2b5/b4B2/2PR4/P4PPP/4R1K1 w - -,g2g3 b7c8 g1g2 c5a3 c3c4 a3b2 g3g4 e8e7 d3e3 c7c5,-40
3rr3/1b4Q1/p2ppqp1/2p1k3/1nP1P3/1PN5/P5BP/5R1K w - -,g2g3 b7c8 g1g2 c5a3 c3c4 a3b2 g3g4 e8e7 d3e3 c7c5,Mate
8/8/8/8/2Q5/6K1/6b1/4k3 w - -,g2g3 b7c8 g1g2 c5a3 c3c4 a3b2 g3g4 e8e7 d3e3 c7c5,Mate
5rk1/pp4pp/4p3/5p2/6P1/2P2n1K/PP5P/RB6 w - -,g4f5 e6f5 h3g3 f3e5 g3f4 e5g6 f4g3 f5f4 g3f3 g6e5,-175
5rk1/1R3pbp/6p1/p3pn2/4r3/4B3/PPN2PPP/5RK1 w - -,e3a7 f8c8 c2e3 e4b4 b7b4 a5b4 f1d1 g7f8 a7b6 f5e3,-16
8/5p1p/1k2pP2/3pP1p1/KP1P2P1/8/8/8 w - -,,0
r5k1/1ppb3p/p2pq3/3N4/4n1pP/3Q2P1/PPP3N1/R5K1 w - -,d3e4 e6e4 d5f6 g8h8 f6e4 a6a5 a1e1 d7e6 a2a3 e6f5,417
r4b1r/pp1k1p1p/4bp2/1N1p4/8/2P4P/PP3PP1/RN2K2R w KQ -,b1d2 e6f5 b5d4 f5d3 d2f1 a8e8 e1d2 d3e4 f2f3 e4g6,23
1r3k1r/1ppnqpp1/3pbn2/1P1Bp1Bp/p3P2Q/2PP4/P1K2NPP/5R1R w - -,c3c4 c7c6 d5e6 e7e6 f1b1 b8e8 b5c6 b7c6 h1c1 d6d5,-104
4r3/1b3k2/p1p4Q/1p2qp2/Pb6/1P2P2P/5PP1/R2R2K1 w - -,h6h7 e5g7 h7f5 g7f6 f5h5 f6g6 d1d7 e8e7 h5f3 f7e8,230
r2q1rk1/8/3pb1np/nBp1pp2/Pp6/1P3NNP/1RPPQPP1/4R1K1 w - -,d2d4 f5f4 g3h5 c5d4 f3d4 e6h3 e2f3 d8g5 f3h3 e5d4,110
1r3rk1/Qb2ppbp/3p2p1/4P3/8/8/PPq1BPPP/R1B2RK1 w - -,e2g4 g7e5 c1h6 c2e4 g4f3 e4b4 a2a3 e5h2 g1h2 b4h4,-96
r1bqkb1r/ppp2pp1/5n1p/3Ppn2/2B5/2P4N/PP1P1PPP/RNBQK2R w KQkq -,h3g1 e5e4 d2d3 f8c5 d3d4 c5d6 b1a3 e8h8 a3c2 a7a6,-108
8/8/1p1p4/pPpPp2p/P1P1Pp1k/5PbP/6K1/8 w - -,h3g1 e5e4 d2d3 f8c5 d3d4 c5d6 b1a3 e8h8 a3c2 a7a6,Mate
r2q1rk1/4n3/B2pb1pp/n1p1pp2/Pp2P3/1P3NNP/1RPPQPP1/4R1K1 w - -,e4f5 g6f5 a6b5 f5f4 g3e4 a8a7 c2c3 e7c6 c3b4 c6b4,80
8/8/8/3b4/8/6K1/2Q5/4k3 w - -,b2b1 f5e4 f3h2 d6d5 a6b5 e7f5 d2d3 f5d4 e2d2 e4d3,Mate
8/8/8/2P5/2R4p/5pkP/r7/5K2 w - -,c4g4 g3h3 g4g8 a2g2 g8f8 h3g3 f8g8 g3h2 g8d8 g2c2,Mate
rn1q1rk1/5ppp/4pn2/Pp1p4/2pP4/b1P1PNB1/P1QN1PPP/R3K2R w KQ -,g3b8 a8b8 e1h1 d8a5 d2b1 a3e7 b1d2 b8a8 f1b1 e7a3,-182
8/5b2/3k2p1/p1p3P1/1pp1pP2/2P1P1KB/PP6/8 w - -,f4f5 d6e5 f5g6 f7g6 h3g4 e5d6 g3f4 d6e7 a2a3 e7f7,601
