rnbqkbnr/pp3ppp/2p5/3Pp3/4p3/2N5/PPP2PPP/R1BQKBNR w KQkq -,d1d2 c8f5 f1c4 g8f6 c4b3 h7h6 g1e2 f8b4 e1h1 e8h8,-201
5k2/7r/4Q3/8/8/8/8/7K w - -,h1g1 h7g7 g1f2 g7f7 f2g2 f7g7 g2f3 g7f7,Mate
r1bqkbnr/pp3ppp/2n5/2pp4/P7/2N2N2/1PPP1PPP/R1BQKB1R w KQkq -,g2g3 c8g4 f1g2 d5d4 c3b5 a7a6 b5a3 d8e7 d1e2 d4d3,-61
rnbqk2r/ppp1nppp/8/bN1p4/3P4/2P2N2/PP3PPP/R1BQKB1R w KQkq -,f1d3 c7c6 b5a3 e8h8 e1h1 c8f5 f1e1 h7h6 c1f4 f5d3,29
rnbqkb1r/ppp2ppp/5n2/4p3/4P3/P1N5/1P1P1PPP/R1BQKBNR w KQkq -,f1e2 f8d6 e2c4 h7h6 g1f3 c7c5 d2d3 b8c6 e1h1 e8h8,-25
rnbqkb1r/p1pp1ppp/1p2pn2/8/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,e1h1 c8b7 c2c4 c7c5 b1c3 f8e7 d2d4 c5d4 f3d4 b7g2,64
r1bqkb1r/ppp2ppp/2n5/3pN3/2B5/3P4/PPP3PP/RNBnR1K1 w kq -,e5g6 e8d7 g6f8 d8f8 e1d1 f8c5 g1f1 d5c4 d3c4 d7e8,-1253
8/8/1B6/8/2K1B3/k7/8/8 w - -,e5g6 e8d7 g6f8 d8f8 e1d1 f8c5 g1f1 d5c4 d3c4 d7e8,Mate
8/8/1BB5/8/2K5/8/1k6/8 w - -,e5g6 e8d7 g6f8 d8f8 e1d1 f8c5 g1f1 d5c4 d3c4 d7e8,Mate
r1bqk1nr/1pp3pp/p1pb1p2/4p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,d4e5 f6e5 f3e5 d8h4 g2g3 h4h3 e5d3 g8h6 d1e2 h6g4,217
r2qkb1r/p1p2ppp/2p1pn2/3p1b2/3P1B2/4P3/PPPN1PPP/R2QK1NR w KQkq -,b2b3 f8b4 g1f3 e8h8 e1h1 a7a5 f3e5 d8e8 h2h3 c6c5,-35
