r1bqkb1r/3pnppp/p1p1p3/1B6/4P3/8/PPP2PPP/RNBQ1RK1 w kq -,b5c6 e7c6 c2c4 f8c5 d1h5 d7d6 c1g5 d8c7 b1c3 a8b8,-666
r2qkb1r/pp3ppp/2n1pn2/3p4/2pP1Pb1/2P1PN2/PPB3PP/RNBQK2R w KQkq -,d1e2 f8d6 b1d2 e8h8 e1h1 c6e7 h2h3 g4f5 e3e4 d5e4,-49
r1bq1rk1/4bppp/p1pp1n2/np2p3/4P3/2P2N1P/PPBP1PP1/RNBQR1K1 w - -,d2d4 d8c7 b2b3 c6c5 d4d5 c8d7 d1e2 f8e8 c1e3 g7g6,93
r1bqk1nr/pp1pppbp/6p1/4P3/2PQ4/2N5/PP3PPP/R1B1KB1R w KQkq -,c1f4 d7d6 c4c5 g6g5 f4g5 g7e5 d4e3 d8c7 b2b4 f7f6,186
r1bqkbnr/p2p1ppp/2p1p3/8/2P5/8/PP2PPPP/RNBQKB1R w KQkq -,g2g3 h7h5 f1g2 h5h4 b1c3 g8f6 c1f4 d8b6 e1h1 h4g3,33
rnb1kbnr/pp3ppp/4p3/2pq4/8/5NP1/PP1PPP1P/RNBQKB1R w KQkq -,f1g2 b8c6 e1h1 g8f6 d2d4 c6d4 b1c3 d5d6 f3d4 c5d4,70
r1bqk2r/ppp2ppp/2p5/2b1P3/4n3/8/PPPPBPPP/RNBQK2R w KQkq -,e2c4 d8h4 d1f3 e4f2 c4f7 e8e7 g2g3 h4d4 h1f1 d4e5,-435
r1bqkb1r/ppp2ppp/8/3nn3/2B5/5Q2/PPPP1PPP/RNB1K2R w KQkq -,c4b5 c7c6 f3e2 f8d6 d2d4 d8a5 c2c3 a5b5 e2b5 c6b5,-524
rnbqk2r/ppp2ppp/5n2/b2p4/3P4/P1N2N2/1PP2PPP/R1BQKB1R w KQkq -,f1d3 e8h8 e1h1 c7c6 h2h3 a5c7 f1e1 h7h6 f3e5 b8d7,67
rnbqk2r/pp3ppp/2pb1n2/3p4/3P4/2PB4/PP3PPP/RNBQK1NR w KQkq -,g1f3 d8e7 d1e2 e7e2 e1e2 e8h8 h1e1 f8e8 e2f1 e8e1,-23
rnb1kbnr/pp2pppp/8/2qp4/5B2/8/PPPNPPPP/R2QKBNR w KQkq -,a2a3 g8f6 e2e3 c8g4 g1f3 b8d7 f1e2 e7e6 c2c4 f8d6,62
r1bq1rk1/p1p2ppp/1pn1pn2/3p4/1bPP4/2NBPN2/PP1B1PPP/R2QK2R w KQ -,c4d5 e6d5 d1c2 a7a5 e1h1 c6e7 a2a3 b4c3 d2c3 c8a6,78
rn1qkbnr/pp3pp1/4p3/2ppPb1B/3P3P/8/PPP2PP1/RNBQK1NR w KQkq -,e1f1 b8c6 h5g4 h8h4 h1h4 d8h4 g4f5 e6f5 c2c3 c5d4,-150
r1b1k2r/ppp2Npp/2n5/3p4/2Bqp2R/5KP1/PPPP4/RNBQ4 w kq -,h4e4 d4e4 f3f2 e8h8 d2d3 f8f7 c1f4 e4d4 f2g2 d5c4,Mate
r3kbnr/pppb1ppp/2np1q2/8/2BNP3/5Q2/PPP2PPP/RNB1K2R w KQkq -,d4b5 f6f3 g2f3 e8a8 c1e3 d7e6 c4e6 f7e6 b5d4 c6d4,-62
r1bqkb1r/ppp2ppp/2nppn2/8/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq -,g2g3 g7g6 f1g2 f8g7 e1h1 e8h8 b1c3 e6e5 d4d5 c6e7,77
rnbqr1k1/ppp2ppp/5n2/3p2B1/1b1P4/2NB1N2/PPP2PPP/R2QK2R w KQ -,e1d2 c7c5 h1e1 c8e6 a2a3 b4a5 d2c1 a5c3 b2c3 c5c4,-223
rnbq1rk1/1p2ppbp/p2p1np1/2pP4/2P2B2/2N2N1P/PP2PPP1/R2QKB1R w KQ -,d1c2 b7b5 e2e4 b5b4 c3d1 a6a5 f1d3 f6h5 f4g5 h7h6,-43
rnb1kbnr/ppp1pppp/8/6q1/8/2NB4/PPPP1PPP/R1BQK1NR w KQkq -,g1f3 g5a5 d3c4 c7c6 d2d4 g8f6 d1e2 e7e6 c1d2 a5c7,167
3k4/4r3/K7/4Q3/8/8/8/8 w - -,d3b5 c7c6 b5f1 g5a5 d2d4 c8f5 g1f3 e7e6 f1d3 g8f6,Mate
rn1qkb1r/pp2pppp/2p2n2/5b2/2BPp3/2N5/PPP1NPPP/R1BQK2R w KQkq -,c1g5 e7e6 e2g3 f8e7 e1h1 f5g6 f1e1 b8d7 a2a3 e8h8,-89
