3r2k1/1p6/2p3pp/R4p2/R3pP2/4Pn2/1P3PKP/5r2 w - -,c3e2 a5a4 b3a2 c6c5 d2d3 g8f6 c2c3 d4c3 b2c3 f8e7,Mate
bbrqkr2/p2p1ppp/1p3n2/2p1p3/3PPn2/1PP2NN1/P4PPP/BBRQKR2 w - -,d4d5 f4g2 e1d2 c5c4 a1b2 a8b7 b2a3 d7d6 b3c4 g7g6,-68
6k1/5pp1/4b3/8/5R2/3B4/7P/6K1 w - -,d3c4 g7g5 f4e4 e6f5 e4e5 f5h3 e5e7 g8g7 e7f7 g7g6,566
rnbqkb1r/pp2pppp/5n2/2pp4/7N/4P3/PPPP1PPP/RNBQKB1R w KQkq -,h4f3 b8c6 d2d4 c8g4 f1e2 d8c7 e1h1 e7e6 b1d2 c5d4,-52
2rrn1k1/5ppp/p2qp3/2b1N3/Pp1B4/1P2P2P/4QPP1/2R1R1K1 w - -,e5f7 g8f7 e2h5 f7g8 d4c5 d6c6 h5g4 e8f6 g4b4 d8d7,357
r4rk1/pp1n1pbp/1q1p1np1/2p1p3/2BPP3/2P1BQ1P/PP1N1PP1/R4RK1 w - -,d4c5 d6c5 a2a4 b6c7 f1d1 d7b6 c4f1 a7a5 d2b3 b6d7,155
r2r2k1/1pp2pbp/p5p1/3np3/3nP3/4BB2/PPP2PPP/2RR1K2 w - -,e4d5 d4f3 g2f3 g7f8 c2c4 b7b6 c4c5 b6c5 e3c5 f8d6,5
6k1/5p2/4b1p1/8/5R1P/3B4/8/6K1 w - -,g1f2 g8f8 d3g6 f8g7 g6f5 e6b3 f5d3 b3d1 f4c4 d1b3,518
6k1/1p6/2p3pp/R4p2/R3pP2/4Pn2/1P3P1P/3r1K2 w - -,g1f2 g8f8 d3g6 f8g7 g6f5 e6b3 f5d3 b3d1 f4c4 d1b3,Mate
8/8/8/8/1r6/B7/p1p5/k1K2b2 w - -,g1f2 g8f8 d3g6 f8g7 g6f5 e6b3 f5d3 b3d1 f4c4 d1b3,Mate
r1b1kb1r/ppppqppp/5n2/n3p3/2B1P3/2P2N2/PP1PQPPP/RNB1K2R w KQkq -,c4b5 c7c6 b5a4 d7d5 e4d5 e5e4 f3d4 f6d5 e1h1 d5f4,52
r2qr1k1/pppn2bp/5np1/3pp1B1/3P3P/2N2P1B/PPPQ4/2K1R2R w - -,h4h5 e5d4 e1e8 d8e8 c3b5 d7e5 b5c7 e8c6 h3e6 g8h8,277
r2qr1k1/ppp2ppp/5n2/8/1b6/1PNb1Q2/1PP2PPP/R1BR2K1 w - -,,0
rnb1kbnr/2qp1ppp/p3p3/1p6/2PN4/1PN5/P3PPPP/R1BQKB1R w KQkq -,c1b2 b5c4 a1c1 c8b7 e2e4 g8f6 f1c4 f8d6 g2g3 b8c6,17
6k1/1p6/2p3pp/R4p2/R3pP2/4Pn2/1P3PKP/6r1 w - -,e2e4 g8f6 f1d3 f8d6 c1b2 b5c4 d3c4 c8b7 a1c1 b8c6,Mate
q2r2k1/p4ppp/b3pb2/2pnN3/8/NQ3PP1/PP1B2K1/7R w - -,e5c4 h7h6 h1e1 d8b8 b3c2 d5b4 c2a4 a6b7 e1e3 f6d4,-471
r2r2k1/1pp2pbp/p4np1/4p3/3nP3/2N1BB2/PPP2PPP/2RR1K2 w - -,f3e2 g7f8 f2f3 b7b5 a2a3 f8c5 d1d3 d8b8 e3g5 c5e7,28
5k2/5p2/4bRp1/8/7P/3B4/8/6K1 w - -,f6f4 f8e7 g1f2 e6d7 f4b4 e7d6 b4b6 d6d5 f2e3 d5e5,549
r1b2bk1/pp1np3/2p2Bpp/3p1p2/3P3P/2N1P3/PqP2PP1/R2QKB1R w KQ -,c3e2 d7f6 d1c1 b2c1 a1c1 e7e6 e2f4 g8g7 c2c4 f8b4,47
6k1/1p6/2p4p/R4pp1/R3pP2/4Pn1K/1P3P1P/6r1 w - -,c3e2 d7f6 d1c1 b2c1 a1c1 e7e6 e2f4 g8g7 c2c4 f8b4,Mate
r1b2rk1/ppq4p/2n1pp2/2bp4/5n1P/2PBBN2/PP2QPP1/RN2R1K1 w - -,e2d2 c5e3 f2e3 f4d3 d2d3 c6e7 c3c4 d5c4 d3d2 e6e5,-129
r1b2rk1/pp3ppp/2n5/2bQp3/4P3/2P2N2/Pq3PPP/RN1BK2R w KQ -,b1d2 b2c3 a1b1 c8e6 b1b3 c3a5 d5d3 e6b3 d3b3 c6d4,-521
8/8/8/8/8/K7/6kp/4Q3 w - -,,0
rn1qk2r/ppp2ppp/4p3/3nP2b/1b1P4/2N2P2/PP4PP/R1BQKBNR w KQkq -,g1e2 f7f6 e5f6 d8f6 a2a3 b4a5 c1d2 b8c6 c3d5 e6d5,-27
