8/3P2k1/8/5p2/4K3/8/8/8 w - -,f1d3 d8b8 g1e2 b8f4 e2f4 f8e8 e3e4 d5e4 c3e4 e7e5,Mate
3r4/pp4p1/1b2k1p1/8/3p4/P4P2/1P3BPP/3R2K1 w - -,g1f1 e6d5 d1c1 d8d6 f1e1 d6c6 e1d2 c6c1 d2c1 d5c4,-81
1kbrn3/5pp1/1P5p/2pPn3/r3P3/1N1B2qP/1PQ3P1/1K1RR3 w - -,b3c1 c8d7 b2b3 a4a8 c2c3 d7b5 e1e3 b5d3 d1d3 g3g5,-177
rq3r2/pp1bppk1/1np2np1/3p3p/3P1Q1P/2NBPP2/PPP3P1/2KR2NR w - -,,0
r2q1r1k/pp3p1p/1np1b1p1/2b1N3/3P4/4P2P/PPB1Q1P1/4RRK1 w - -,e5c6 b7c6 d4c5 b6d7 e1d1 d8e7 b2b4 d7e5 e2d2 e6c4,-364
8/8/5K2/4Q3/2k1B3/8/8/8 w - -,e5c6 b7c6 d4c5 b6d7 e1d1 d8e7 b2b4 d7e5 e2d2 e6c4,Mate
1kbrn3/5pp1/1P5p/2NPn3/1r2P3/3B2qP/1PQ3P1/1K1RR3 w - -,d3f1 e5d7 c2d2 b4b6 c5a4 b6b7 f1a6 b7a7 e1e3 g3g5,-61
r3k2r/ppq2pp1/2n1p2p/3pP3/b1nP4/P2BBN2/2PQ1PPP/1RR3K1 w kq -,d3c4 d5c4 d2e2 c6e7 f3d2 e8h8 d2c4 e7f5 c4d2 f8d8,51
r1bqk2r/p1pp1ppp/2p5/2b1p3/4n3/P4N1P/1PPP1PP1/RNBQK2R w KQkq -,e1h1 c5f2 f1f2 e4f2 g1f2 e5e4 f3h2 d8f6 f2g1 e8h8,-73
r6r/pp3p1p/5kp1/1B6/5P2/5b2/P1K4P/R3R3 w - -,c2b3 h8d8 a1c1 a8c8 c1c8 d8c8 b5c4 c8c5 e1e3 f3d5,-484
k7/P4p2/8/3K1Pp1/4R3/6P1/8/2r5 w - -,e4e7 g5g4 d5e5 c1g1 e5f4 f7f6 e7e8 a8a7 e8f8 a7b6,716
r1bq1rk1/pp2bppp/5n2/3p4/2pP1B2/4PN2/PPB2PPP/R2Q1RK1 w - -,a2a4 c8g4 d1b1 g4f3 g2f3 g7g6 g1h1 f6h5 f4e5 a8c8,-10
r4r1k/pp3p1p/1np1b1p1/2P1N1q1/8/4P2P/PPB1Q1P1/4RRK1 w - -,c5b6 g5e5 b6a7 a8a7 c2b3 e6b3 a2b3 a7a5 b3b4 a5d5,-76
1rbnkb1r/2Q4p/p2p1p2/1q1BpP2/1p5P/1N6/PPP5/2KR2R1 w - -,d5f3 f8h6 c1b1 b5b6 c7c4 c8f5 f3e4 f5e6 c4e2 e8e7,-332
