3rr1kn/ppnqb1p1/2p1p1p1/7P/1PBPP1Q1/P3B3/2N5/2R2R1K w - -,h5g6 e8f8 h1g2 f8f6 f1f6 e7f6 g4h5 h8g6 h5g6 g8f8,751
rnbqkb1r/pp2pp1p/5np1/2p1p3/2B5/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,f3e5 e7e6 d1f3 b8d7 c4b5 f8g7 b5d7 c8d7 f3b7 e8h8,101
r1bqk2r/ppp2ppp/2n5/3np3/2B2P2/2bP4/PPPB2PP/R2QK1NR w KQkq -,g1f3 c3d2 d1d2 d5f4 e1h1 e8h8 a1e1 f4g6 f3g5 g6h8,-746
8/8/8/5k1K/2B5/5N2/8/8 w - -,f3d4 f5e5 d4c2 e5f5 c4d3 f5e6 h5g6 e6d6 d3c4 d6d7,8038
rn1qkbnr/pp3ppp/4b3/2pp4/3P4/1B6/PPP2PPP/RNBQK1NR w KQkq -,g1e2 g8f6 e1h1 b8c6 c2c3 c5c4 b3c2 f8d6 c1f4 e6g4,-7
r1bqk1nr/ppppbppp/2n5/4p3/2P5/2NP4/PP2PPPP/R1BQKBNR w KQkq -,g2g3 e7b4 f1g2 d7d6 c1d2 g8f6 a2a3 b4c3 d2c3 e8h8,59
r4r1k/ppq3pp/3R4/4N1B1/4P3/8/PP4PP/2Rb2K1 w - -,c1c7 d1e2 h2h4 f8c8 c7b7 c8b8 b7f7 b8f8 d6d7 f8f7,815
8/8/8/8/2B5/4kNK1/8/8 w - -,c4d5 e3e2 g3f4 e2d3 d5g8 d3c2 f4e4 c2c3 e4e3 c3b4,184
8/1KP5/4k3/8/8/8/8/8 w - -,c4d5 e3e2 g3f4 e2d3 d5g8 d3c2 f4e4 c2c3 e4e3 c3b4,Mate
7k/5K2/8/5N2/6p1/6N1/8/8 w - -,c4d5 e3e2 g3f4 e2d3 d5g8 d3c2 f4e4 c2c3 e4e3 c3b4,Mate
r1bqk2r/ppppbppp/2n2n2/4p3/2P5/2NP1N2/PP2PPPP/R1BQKB1R w KQkq -,e2e4 e7b4 f1e2 d7d6 e1h1 h7h6 c3a4 e8h8 a2a3 b4c5,40
rn1qk2r/pbppnpb1/1p2p1pp/6B1/2BPP3/2N2N2/PPP2PPP/R2Q1RK1 w kq -,g5f4 d7d6 a2a4 e8h8 f1e1 b8d7 d1d2 g8h7 a4a5 d7f6,70
r1bqkbnr/pp1p1pp1/2n1p2p/2p5/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,d2d4 c5d4 f3d4 g8f6 e1h1 f8e7 d4c6 d7c6 d1d8 e7d8,71
r2qkb1r/ppp1pppp/2n2n2/5b2/3P4/2N2N1P/PPP2PP1/R1BQKB1R w KQkq -,f1b5 e7e6 f3e5 f8b4 e5c6 b4c3 b2c3 d8d5 c6a7 c7c6,83
8/8/5K2/8/8/4k3/3p4/8 w - -,f1d3 f5d3 d1d3 e7e6 a2a3 f8d6 c1e3 e8h8 e1a1 c6e7,Mate
r1bqkb1r/pp3ppp/2n2n2/2pp4/8/2NB1N2/PPPP1PPP/R1BQ1RK1 w kq -,a2a3 a7a6 f1e1 f8e7 d3f1 d5d4 c3e4 f6e4 e1e4 c8e6,-68
8/7K/8/2Q5/8/8/3p4/1k6 w - -,a2a3 a7a6 f1e1 f8e7 d3f1 d5d4 c3e4 f6e4 e1e4 c8e6,Mate
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/4P3/PP1N1PPP/R1BQKBNR w KQkq -,g1e2 c7c5 b2b3 f8e7 d4c5 b6c5 c1b2 e8h8 e2f4 d7d6,-56
rnbqkbnr/pp1p1ppp/4p3/2p5/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq -,a2a4 d7d5 d2d3 g8f6 g2g3 f8e7 f1g2 e8h8 e1h1 b8c6,-25
r1bqk2r/ppppbppp/2nn4/1B2p3/3P4/5N2/PPP2PPP/RNBQR1K1 w kq -,b5d3 e5e4 d3e4 d6e4 e1e4 d7d5 e4e1 c8g4 c2c3 d8d7,-49
rnbqkb1r/pp1p1ppp/4pn2/2p5/5P2/1P3N2/P1PPP1PP/RNBQKB1R w KQkq -,b1a3 d7d5 e2e3 b8c6 c1b2 a7a6 f1e2 f8e7 e1h1 e8h8,-28
8/6p1/7p/5k2/4R3/7P/6P1/6K1 w - -,e4e1 h6h5 g1f2 f5f4 e1a1 f4e4 a1a4 e4d5 f2e3 d5c5,1301
8/B4Bkp/8/8/8/8/8/5K2 w - -,f7c4 g7f6 c4d3 h7h6 f1f2 f6e5 f2g3 e5d5 g3h4 d5e6,5701
