8/1KPk4/7R/8/8/8/8/2r5 w - -,h2h4 c8b8 h4h5 b2b1 c2b1 b8b1 a1b1 a5b5 b1c1 g6h5
1rb5/1p3k2/p3p1p1/P2p2R1/8/8/1PP2PP1/2K2B2 w - -,f1d3 c8d7 g5g6 b8h8 g6g5 h8h4 b2b3 f7f6 g5g8 d7c6
5rk1/p3q1pp/1rppP3/2p2p2/2Q5/2P2P2/P3R1PP/4R1K1 w - -,
r2qkbnr/pp1b1ppp/2n5/2P1p3/Q1Pp4/5NP1/PP2PPBP/RNB1K2R w KQkq -,b2b4 e5e4 f3d2 f7f5 c1b2 a7a6 e1h1 g8f6 a4d1 h7h5
6k1/3n1pbp/4p1p1/3p4/8/1P3B1P/2P2PP1/B4K2 w - -,a1g7 g8g7 f1e2 g7f6 b3b4 f6e7 e2d2 e7d6 f3e2 d7b6
4r1k1/2n2p2/pp1p1qpb/2pP1b1p/P1P2P1P/2N1r1P1/1P1QN1BK/3RR3 w - -,a4a5 b6b5 c4b5 a6b5 d1a1 b5b4 c3d1 e3d3 d2c1 f5c8
r1bqk2r/3p1pp1/p1p4p/n1bBp3/Pp2P3/3P1N2/1PP2PPP/R1BQK2R w KQkq -,d5b3 a5b3 c2b3 d7d6 e1h1 e8h8 c1e3 c5e3 f2e3 c6c5
8/7k/8/1Pq3p1/2P1Kp2/3Q4/8/8 w - -,d3d7 h7h8 d7d4 c5d4 e4d4 h8g7 b5b6 f4f3 d4e3 g7g6
2r5/p2k1p2/6p1/q2p4/2bP4/2P2P2/1pQRN1PP/K7 w - -,d3d7 h7h8 d7d4 c5d4 e4d4 h8g7 b5b6 f4f3 d4e3 g7g6
3k4/7R/3P4/8/8/6K1/8/3r4 w - -,
3r2k1/p1p2pp1/1p6/4pq2/1P2R2P/5P2/P1P3r1/2R1K3 w - -,g3f2 d1d6 f2e3 d6d1 e3e4 d1e1 e4d3 e1e6 h7g7 d8e8
1qrr4/1b1nbp1k/pp1ppn1p/8/2P1PBP1/N1N2B2/PP2Q1KP/2RR4 w - -,c4c5 c8c5 a3c4 d7f8 b2b4 f8g6 f4g3 c5c7 b4b5 c7c5
8/3n1pkp/4p1p1/3p4/8/1P3B1P/2P2PP1/5K2 w - -,f1e2 g7f6 b3b4 f6e7 e2d3 e7d6 f3e2 d7b6 h3h4 h7h6
8/8/7k/1Pq3p1/2P2p2/3Q1K2/8/8 w - -,
r1bqkbnr/pp1n1ppp/2p5/1P1pp3/2P5/8/PB1PPPPP/RN1QKBNR w KQkq -,c4d5 c6d5 e2e3 g8f6 g1f3 f8d6 f1e2 e5e4 f3d4 d7c5
r1bqkb1r/pp1n1ppp/5n2/1B6/2pPp3/2N2N2/PP3PPP/R1BQK2R w KQkq -,f3e5 a7a6 b5c4 d7e5 d4e5 d8d1 c3d1 f8b4 d1c3 f6g4
6k1/R7/8/4K1P1/8/8/8/7r w - -,e5f6 h1f1 f6g6 f1f8 a7g7 g8h8 g7f7 f8a8 f7f6 a8c8
