3rrbk1/5R2/3p3p/2p1pQ2/2P1P1n1/3P4/6P1/6K1 w - -,c1d1 b5c4 e1f1 f2g3 c3c1 g3g2 c1c2 c8h8 e2d3 g2c2,Mate
r1b2bkr/pppq2pp/2pn4/5pB1/8/3PRN2/PPP2PPP/RN1Q2K1 w - -,d1e2 h7h6 g5e7 f5f4 e3e5 g8f7 e7f8 h8f8 b1d2 f7g8,246
8/6k1/6p1/4p2p/1R5P/6PK/r7/8 w - -,b4b3 g7f6 g3g4 h5g4 h3g4 a2a4 g4h3 f6f5 b3f3 a4f4,-3
r2qk2r/1pp2pp1/p1np3p/2bNp2b/2B1P3/2PP1N1P/PP3PP1/R2Q1RK1 w kq -,f1e1 c5a7 b2b4 e8h8 g2g4 h5g6 d3d4 g6h7 a2a4 f8e8,19
rnq1k2r/ppp1ppb1/3p1np1/2P4p/3P2b1/5NP1/PP2PPBP/RNBQ1RK1 w kq -,f3g5 e8h8 c5d6 c7d6 b1c3 b8c6 h2h3 g4d7 c1e3 g7h6,67
r1bqk2r/pp2bppp/2n1pn2/8/3pP3/1PN1Q3/PBP2PPP/2KR1BNR w kq -,e4e5 d4e3 d1d8 e7d8 e5f6 d8f6 f2e3 c8d7 g1f3 e8h8,-324
2r5/4p3/7k/2N5/1P6/2R5/1KP5/4r3 w - -,,0
r1b4k/1pq4p/p3p2R/4bp1Q/6r1/1N1B4/PPP4P/1K1R4 w - -,d3c4 e5f4 d1d8 g4g8 d8g8 h8g8 c4e6 c8e6 h6e6 c7g7,65
1k1r3r/pp6/1q2p1Rp/3pP3/3n1P2/2Q5/PPP5/2KR4 w - -,c3d4 b6d4 d1d4 d8e8 d4d1 h6h5 d1h1 h5h4 h1h3 h8h7,26
rn1qk2r/pbppnpbp/1p2p1p1/8/2B1P3/2PP1N2/PPQ2PPP/RNB1K2R w KQkq -,d3d4 c7c5 d4c5 b6c5 e1h1 d7d5 e4d5 e6d5 c4b5 b8c6,-15
3r1rk1/pp3pbp/1q4p1/4p3/3n4/1P4P1/PBQ1PPBP/2R2RK1 w - -,b2d4 e5d4 c2d3 d8c8 c1c4 f8e8 f1c1 c8c4 c1c4 g7f6,38
3Q4/8/6p1/1K5k/8/6q1/8/8 w - -,,0
1r6/5pkp/2p2qp1/2N1nb2/1P1p4/P7/3Q1PPP/4RBK1 w - -,a3a4 d4d3 e1c1 g6g5 a4a5 g5g4 a5a6 b8e8 g1h1 h7h5,45
r4rk1/pppb1pp1/2np1n1p/1N6/4P3/3PPNP1/PPP1B2P/R3K2R w KQ -,b5c7 a8c8 c7b5 c6b4 c2c3 b4c2 e1d2 c2a1 b5d6 c8c6,181
rn1q2k1/pbp1b1pp/1p2pr2/3p4/2PPp3/2N3PB/PPQ1PP1P/R1B2RK1 w - -,c1g5 f6g6 g5e7 d8e7 c4d5 e6d5 c2b3 e7g5 c3e4 g5h5,132
1q1r1r1k/1p4pB/1np5/p2pn2Q/3P4/P5RP/1P3PP1/4R1K1 w - -,c1g5 f6g6 g5e7 d8e7 c4d5 e6d5 c2b3 e7g5 c3e4 g5h5,Mate
r1b2rk1/pnq2pp1/2pb1n1p/4N3/3Pp3/8/PPPBBPPP/RN1Q1RK1 w - -,d2f4 f6d7 e5d7 c8d7 f4d6 b7d6 b1d2 f7f5 f2f4 a7a5,67
8/5k2/2R5/3K1Ppp/6P1/7P/8/6r1 w - -,c6c4 h5g4 h3g4 f7f6 c4e4 g1g3 d5d4 f6f7 d4e5 g3b3,7
rnbqkbnr/ppp3pp/5p2/3p4/1PPP4/P3p3/1B2PPPP/RN1QKBNR w KQkq -,f2e3 d5c4 d1c2 c7c6 c2c4 b8d7 g1f3 d7b6 c4c2 g8h6,46
r2qk1nr/1p3ppp/1ppp4/n7/3PP1b1/3B1N2/P4PPP/R1BQ1RK1 w kq -,f1e1 g8e7 h2h3 g4h5 g2g4 h5g6 f3h4 d6d5 h4g6 h7g6,50
