7B/8/8/5K2/p1k5/1p6/8/8 w - -,c3b3 c5d4 h4g6 e4f5 g6f4 f5d7 b3a3 d4e4 a3b4 e4f3,Mate
rn1k1b1r/1p2pp1p/2p5/4Pbp1/1pP2P2/8/PP4PP/RN2KBNR w KQ -,g1e2 g5f4 b1d2 f8g7 d2f3 d8c7 e2f4 b8d7 f4h5 g7e5,-344
6k1/3R2p1/7p/p3P3/1b1B4/6K1/4r1PP/8 w - -,g3f3 e2e1 d7a7 b4d2 g2g4 d2g5 a7a5 g8f7 a5a6 g5e7,34
r3k2r/2Qn2pn/p3p2p/1p1p3P/2pP2p1/N1P1P1K1/P4P2/R3Nq2 w kq -,c7d7 e8d7 g3g4 h7f6 g4g3 f1g1 e1g2 f6e4 g3h3 e4f2,-1500
rn4k1/p5pp/bp1bq3/3p2N1/3P2P1/2N4P/PP1B1P2/5RK1 w - -,b2b4 e6d7 b4b5 a6b5 f1d1 b5c4 g5f3 b8c6 f3e5 d6e5,-659
r2qr1k1/1b2bppp/p2p1n2/1p6/3QP2P/PBN5/1PP2PP1/2KR3R w - -,c1b1 f6d7 f2f3 d8b6 c3d5 b6d4 d5e7 e8e7 d1d4 d7c5,-300
3r4/7R/p7/1pp2p2/7P/1PPP1Pk1/1P4P1/5K2 w - -,h4h5 g3f4 f1e2 d8g8 e2f2 f4g5 g2g3 g8d8 f3f4 g5f6,521
r2r2k1/1bp3pp/p3pp2/1p2P3/1Pn1P3/6N1/2B2PPP/R1B2RK1 w - -,c2b3 d8d3 b3c4 b5c4 e5f6 g7f6 a1a5 c7c5 b4c5 c4c3,392
8/8/8/1k6/2p5/pp6/7r/1K4R1 w - -,f2f3 c4e5 c1e3 a6a5 b4a5 e5c4 e3f2 c4a5 f1b1 b7c6,Mate
r1b2rk1/pp3N2/2p1p1pp/7n/8/3B4/PPP2RPP/R5K1 w - -,d3g6 h5g3 h2g3 g8g7 a1f1 c8d7 g6h5 d7e8 f2f6 e8f7,551
rnb1kbnr/4qppp/2pp4/p7/Pp2Pp2/1B6/1PPPQ1PP/R1BNK1NR w KQkq -,d2d3 b8d7 c1f4 d7c5 g1f3 g7g6 d1e3 f8h6 f4h6 g8h6,57
r3k2r/pp3ppp/2n1b3/q1N1Pn2/3p1P2/6P1/PP2N1BP/R1BQK2R w KQkq -,e1f1 a5c5 g3g4 f5h4 g2e4 a8d8 f1f2 e6g4 h1g1 h7h5,-212
6R1/5B1k/b2r1K2/1p3P1p/8/8/8/8 w - -,f6e7 h5h4 e7d6 b5b4 f5f6 a6e2 g8b8 h7h6 f7e6 e2h5,764
q1r3k1/1b3ppp/1p3n2/3p4/4P3/3B1N2/3Q1PPP/4R1K1 w - -,e4e5 f6e4 d2b4 a8a5 b4e7 b7c6 e1c1 a5a8 e5e6 c6e8,8
8/6p1/R7/6k1/3R3p/4p2P/4n1P1/6K1 w - -,g1f1 e2d4 a6a4 d4f5 f1e2 g5f6 e2f3 f6f7 a4e4 g7g6,140
r5k1/1pq3p1/2p4p/p2p1Nn1/P5P1/1R5P/1P1Q1P2/6K1 w - -,g1g2 a8e8 d2d4 e8e1 d4b6 c7e5 b6d4 e5d4 f5d4 c6c5,-92
3r3r/k2nqp2/bp1pp3/p1p3pp/P1PPP3/2PB2PP/1R2Q1P1/1N3RK1 w - -,b1a3 h5h4 g3g4 f7f6 b2b1 d8c8 g1h1 c8e8 b1d1 e8c8,10
r2qkb1r/pbppnp1p/1pn1p1p1/1B2P3/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq -,b1c3 f8g7 f1e1 a7a6 b5f1 d7d6 e5d6 c7d6 d4d5 e6d5,65
r4rk1/p5p1/2p3q1/3p3p/4p3/1PP1RPNn/P3N2P/R2Q2K1 w - -,g1f1 h5h4 f3f4 h3f4 e2f4 f8f4 f1g1 f4g4 g1g2 a8f8,-435
rn1k3r/1p2ppbp/2p5/4PbP1/1pP5/8/PP4PP/RN2KBNR w KQ -,e1d2 b8d7 d2c1 h7h6 b1d2 d7e5 f1e2 h6g5 g1f3 d8c7,-433
8/2r2k1K/6p1/1p1p4/p2P2rP/4n1P1/PP1R4/NR2N3 w - -,,0
7r/pp1q1pk1/2pbrpp1/3p4/3P2P1/5QNP/PPP2PK1/R3R3 w - -,e1e6 d7e6 f3e3 e6c8 a1e1 c8g8 a2a4 g8d8 b2b3 d8a5,-12
2r3k1/4qppp/p1rpb1n1/Pp2n3/3BP3/2P3QP/2PNBRP1/5R1K w - -,c3c4 b5c4 f1b1 e7d8 d4c3 e5d3 f2f3 d3c5 f3e3 d8h4,-28
q1r3k1/1b3ppp/1p6/3pP3/4n3/3B1N2/3Q1PPP/4R1K1 w - -,,0
8/6p1/R7/6k1/3n3p/4p2P/6P1/5K2 w - -,a6a4 d4f5 f1e2 g5g6 e2f3 g6f6 a4a6 f6e5 a6a7 e5e6,122
rn1qkr2/ppp1b2Q/6p1/4P3/8/2n5/PPP2PPP/R1B1K2R w KQ -,h7g6 e8d7 b2c3 d7c8 c1h6 f8g8 g6e6 b8d7 a1d1 g8h8,196
3rr1k1/pp1n1pp1/1qp2b1p/2QnpN2/1P6/P2PPB1P/1B3PP1/2RR2K1 w - -,c5c2 d7f8 d3d4 f8g6 f3h5 b6c7 b4b5 g6e7 f5e7 d5e7,99
2rq1rk1/4bppp/p3p3/1p1pn3/2nP1B2/2PB3P/PPQ2PP1/R3R1K1 w - -,f4e5 h7h6 d3c4 c8c4 a2a3 e7f6 c2d3 f6e5 e1e5 d8c7,-13
r2r2k1/1bp4p/p3pp2/1p6/1Pn1P3/6N1/2B2PPP/R1B2RK1 w - -,c2b3 d8d3 b3c4 b5c4 a1a5 c7c5 b4c5 b7c6 c1e3 c6b5,409
r3k2r/1p2bppp/1qn1p3/p2p1b1n/P1pP1B2/2P1PN1P/1P1N1PP1/R1Q1KB1R w KQkq -,g2g4 h5f4 g4f5 f4d3 f1d3 c4d3 c1b1 b6a6 e1d1 e8h8,59
r1b2rk1/ppq2pb1/2p3pp/2n1p3/2P3P1/2N1PP2/PP2B2P/R2QK1NR w KQ -,d1c2 c7a5 e1f2 f7f5 a1b1 a5c7 b2b4 e5e4 b4c5 e4f3,-223
