rnbqkb1r/ppp2ppp/8/3p4/3Pnp2/3B1N2/PPP3PP/RNBQK2R w KQkq -,b1d2 f7f5 e1h1 c8e6 c2c3 f8e7 d1b3 b8d7 c3c4 c7c6,-234
r1bq1rk1/pppnbppp/4pn2/3p2B1/2PP4/4PN2/PPQ2PPP/RN2KB1R w KQ -,b1c3 h7h6 g5h4 c7c5 d4c5 d7c5 c4d5 e6d5 f1d3 c8g4,18
rnbqk2r/ppp2ppp/3b4/3p4/3PnB2/3B1N2/PPP3PP/RN1QK2R w KQkq -,d1c1 e8h8 e1h1 c8f5 b1c3 e4c3 b2c3 f5d3 c2d3 b8c6,-208
r1b1kb1r/pp1p1ppp/2n1pn2/q1p5/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,e4e5 f6g4 c1f4 f7f6 e5f6 g4f6 e1h1 f8e7 c3b5 e8h8,97
rnb1kb1r/ppp2ppp/3q4/3np3/2B5/3P1N2/PPP2PPP/RNBQK2R w KQkq -,e1h1 b8c6 f3g5 f7f6 g5e4 d6d7 d1h5 e8d8 a2a4 d5b6,87
rnb1kbnr/pp3ppp/2p2q2/1B2p3/4P3/5N2/PPP2PPP/RNBQK2R w KQkq -,b5e2 f8d6 c1g5 f6e6 e2c4 e6d7 b1c3 h7h6 g5h4 g8e7,42
rnb1k2r/ppp2ppp/3q4/3p4/3Pn3/3B1N2/PPP3PP/RN1QK2R w KQkq -,b1c3 f7f5 e1h1 e8h8 c3b5 d6b6 c2c4 c7c6 b5c3 b6b2,-157
r1bqkbnr/ppp2p1p/2np2p1/8/4P3/2N5/PPP2PPP/R1BQKBNR w KQkq -,g1f3 g8f6 c1g5 c8d7 h2h3 h7h6 g5e3 f8g7 d1d2 d8e7,56
r1bqk2r/pp1nbppp/2pp1n2/8/2BNPP2/2N5/PPP3PP/R1BQK2R w KQkq -,d4f5 b7b5 c4d3 e8h8 e1h1 f8e8 c1e3 e7f8 f5g3 b5b4,-33
2kr1b1r/ppp1pppp/2n2n2/5q2/6b1/2NP1N2/PPP1BPPP/R1BQ1RK1 w - -,f3h4 f5d7 h4f3 e7e5 h2h3 g4f5 a2a3 c8b8 f1e1 f8d6,-40
r1bqkb1r/pp2pppp/1nn5/1B1pP3/3P4/5N2/PP3PPP/RNBQK2R w KQkq -,e1h1 e7e6 b1c3 f8e7 b5d3 c8d7 f1e1 a8c8 h2h4 h7h6,120
rnbqkbnr/pp1p1ppp/8/2pPp3/2P5/8/PP2PPPP/RNBQKBNR w KQkq -,g2g3 d7d6 b1c3 b8a6 h2h4 h7h5 f1h3 a6c7 e1f1 c8h3,149
rn1qkbnr/p1pppppp/1p6/1B6/4b3/5N2/PPPP1PPP/RNBQK2R w KQkq -,a2a3 e7e6 e1h1 c7c5 d2d4 g8f6 c1f4 a7a6 b5e2 b8c6,-113
rn1qkbnr/ppp1pppp/8/3p4/8/1P2Pb2/P1PP1PPP/RNBQKB1R w KQkq -,f1a6 f3d1 a6b7 d1c2 b7a8 e7e6 e1h1 g8e7 c1a3 b8d7,-1087
r1bqk1nr/pp1pppbp/2n3p1/2pN4/4P3/5N2/PPPP1PPP/R1BQKB1R w KQkq -,f1c4 e7e6 d5c3 g8e7 c4b3 d7d5 d2d3 d5e4 c3e4 b7b6,-83
r1bqkb1r/ppnppppp/8/1Np1P3/2P5/5N2/PP1P1PPP/R1BQK2R w KQkq -,e1h1 c7b5 c4b5 d7d5 d2d4 c5c4 b2b3 c8f5 b3c4 d5c4,48
8/8/8/8/k7/2P5/1K6/8 w - -,,0
8/8/8/8/K1k5/8/P7/8 w - -,,0
1krb2qr/p1p3pp/PpQp4/1Pn1p3/1N2P3/5N2/2P2PPP/R4RK1 w - -,a4a3 c4c3 a3a4 c3c4 a4a5 c4c5 a5a6 c5c6 a2a4 c6c7,Mate
rnbq1rk1/ppp1p1bp/3p1np1/5p2/2PP4/3BPN2/PP3PPP/RNBQ1RK1 w - -,b1c3 b8c6 d4d5 c6b4 d3e2 b4a6 a1b1 a6c5 b2b3 e7e5,53
r1bqk2r/1ppp1pp1/2n2n1p/p1b1p1B1/2B1P3/2NP1N2/PPP2PPP/R2QK2R w KQkq -,g5c1 d7d6 e1h1 e8h8 a2a4 c8g4 h2h3 g4e6 c4e6 f7e6,-39
rn2kb1r/pp3ppp/2p1pn2/q7/3P2b1/2NB4/PPPBNPPP/R2QK2R w KQkq -,c3e4 a5d8 e4f6 d8f6 h2h4 g4e2 d1e2 f6d4 e1a1 f8e7,101
3bq1k1/6pp/4p3/p1p1P3/1pP5/3P1Q2/PP4PP/5RK1 w - -,f3a8 e8d7 a8e4 h7h6 g2g3 a5a4 h2h4 d7e8 b2b3 a4a3,594
rnbqkb1r/ppppp3/5n1p/6p1/3P1p2/2N3B1/PPP1PPPP/R2QKBNR w KQkq -,e2e3 f4g3 h2g3 c7c6 g1f3 d8a5 f1d3 d7d6 d3g6 e8d8,-254
rnbqkb1r/pp2pppp/2p5/8/2Ppn3/6P1/PP1PPPBP/R1BQK1NR w KQkq -,b2b3 e4c5 g1f3 g7g6 b3b4 c5e6 d2d3 f8g7 h2h4 h7h6,-505
r1bqkb1r/pp3ppp/2n1p3/3pPn2/3P4/3BB3/PP3PPP/RN1QK1NR w KQkq -,d3b5 f8b4 b1c3 c8d7 b5c6 b7c6 g1f3 c6c5 e1h1 f5e3,-77
r1bq1rk1/pppnp1bp/3p1np1/5p2/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 w - -,e3e4 f5e4 c3e4 f6e4 d3e4 d7f6 e4d3 c8g4 h2h3 g4f3,81
rnbqk2r/pp3ppp/2pb4/4p3/2PpB3/3P2P1/PP2PP1P/R1BQK1NR w KQkq -,e4g2 a7a5 g1f3 e8h8 e1h1 b8a6 e2e3 c8g4 e3d4 e5d4,-96
