rnbqkb1r/pp1p1ppp/2p3n1/8/2B1Pp2/5N2/PPPP2PP/RNBQ1RK1 w kq -,d1e2 d7d6 b1c3 f8e7 d2d4 e8h8 e2d1 b8d7 c3e2 d7f6,-109
r4rk1/5ppp/bppR2n1/p7/4P3/P1B1P3/BP4PP/5RK1 w - -,f1f2 c6c5 e4e5 a6c8 d6b6 a5a4 b6c6 c8e6 a2e6 f7e6,309
rn1qk2r/pp2ppbp/2p2np1/3p4/3P1B2/2N1PQ1P/PPP2PP1/R3KB1R w KQkq -,e1a1 b8d7 c1b1 b7b5 g2g4 b5b4 c3e2 a7a5 e2g3 h7h5,79
rn2kb1r/pp3ppp/2p1pn2/q7/2BP2b1/2N5/PPP1NPPP/R1BQ1RK1 w kq -,f2f3 g4h5 e2f4 b8d7 f4h5 a5h5 a2a4 f8d6 g2g3 a7a5,63
r4rk1/5ppp/1ppR2n1/pb6/4P3/P1B1P3/BP3RPP/6K1 w - -,h2h4 g6e7 h4h5 c6c5 d6b6 b5d3 b6b7 a8e8 f2f4 c5c4,647
r2qkbnr/pp2pppp/2n5/3pP3/3P2b1/8/PP2NPPP/RNBQKB1R w KQkq -,b1c3 e7e6 c1e3 f7f6 d1b3 a8b8 h2h3 g4h5 e2f4 h5f7,62
r1bqk2r/pp2ppbp/2n3p1/3n4/3N4/2N1B3/PPP1BPPP/R2QK2R w KQkq -,e2f3 d5e3 f3c6 b7c6 f2e3 e8h8 e1h1 d8c7 d1f3 c8b7,-218
rn2kb1r/pp1qnppp/4p3/2ppP3/5P2/5N2/PPPP2PP/RNBQK2R w KQkq -,c2c3 d5d4 d2d3 d4c3 b2c3 b8c6 b1a3 a7a6 f3g5 e7d5,-104
R7/5p2/8/4Pk2/8/2N5/8/6K1 w - -,c2c3 d5d4 d2d3 d4c3 b2c3 b8c6 b1a3 a7a6 f3g5 e7d5,Mate
r1bqkbnr/pp1p1ppp/2n5/2p5/3pPB2/5N2/PPP2PPP/RN1QKB1R w KQkq -,b1d2 f8e7 h2h3 g8f6 e4e5 f6d5 f4g3 d7d6 f1c4 d6e5,-121
rnb1qrk1/pppp2pp/4pn2/5pB1/2PP4/P1P2N2/4PPPP/R2QKB1R w KQ -,g5h4 b7b6 e2e3 c8b7 f1d3 f6e4 e1h1 e4c3 d1c2 c3e4,-64
8/8/5K2/6R1/3k4/8/8/8 w - -,g5h4 b7b6 e2e3 c8b7 f1d3 f6e4 e1h1 e4c3 d1c2 c3e4,Mate
rnbqkbnr/pp2pppp/8/2ppP3/8/P7/1PPP1PPP/RNBQKBNR w KQkq -,c2c3 d5d4 g1f3 b8c6 f1b5 c8d7 e1h1 e7e6 c3d4 c6d4,31
r4rk1/4nppp/1ppR4/pb2P3/8/P1B1P3/BP3RPP/6K1 w - -,d6d7 a8e8 e5e6 f7f6 f2d2 c6c5 d7b7 c5c4 d2d6 e7c8,669
