4rrk1/5ppp/p1p5/1p6/3P1bb1/1BP4q/PPQN1P1P/R1B2RK1 w - -,a2a3 b4a6 a1b1 b8b1 h1b1 a6c5 b1b8 g8f7 e6c5 e7c5,Mate
r2qr1k1/pppn1ppp/5n2/3pNb2/3P4/2N1P1P1/PP3PP1/R2QKB1R w KQ -,g3g4 d7e5 g4f5 e5c4 f1c4 d5c4 d1e2 a8c8 e2c4 d8d7,29
2kr1bnr/pp1bq1pp/2np1p2/1NpQ4/2B1PB2/5N2/PP3PPP/R4RK1 w - -,b5d6 c8b8 d6f7 b8c8 f1d1 g8h6 f7d6 e7d6 f4d6 f8d6,578
1B6/8/8/8/1N2k3/2K5/8/8 w - -,c3c4 e4f5 c4d4 f5e6 b4d5 e6d7 b8g3 d7c6 d5e3 c6b5,20000
rn2kb1r/pbpq2pp/1p1ppn2/5p2/3P1B2/3BPN1P/PPP1QPP1/RN2K2R w KQkq -,d3b5 b7c6 b5c4 c6f3 e2f3 d6d5 e1h1 f8d6 f4d6 d7d6,56
r3kb1r/4pppp/p1p5/2qp3b/5B2/2P1PN1P/P1P2PP1/1R1Q1RK1 w kq -,g2g4 h5g6 b1b7 e7e6 f3e5 f8e7 d1d4 f7f6 e5d7 c5a3,140
2r2k2/1p2ppbp/p1rpbnp1/6B1/2P1P1P1/1PN2P2/P2KB2P/2R4R w - -,g5e3 c6c7 g4g5 f6d7 c3d5 e6d5 e4d5 d7c5 h2h4 a6a5,52
r3kb1r/1p1bpppp/2n2n2/pBP5/1P6/2P5/P4PPP/RNBK2NR w kq -,c1d2 f6e4 d2e1 g7g6 f2f3 e4f6 g1e2 f6d5 e1d2 a5b4,-137
N1k3nr/p4Rpp/2n1p3/b2pP3/2pP4/4BN2/P1b1BPPP/6K1 w - -,g2g4 g8e7 f7g7 c8d7 f3g5 h8a8 g5h7 c2h7 g7h7 a5b6,-339
r4rk1/1p3p1p/2b1p1p1/2p5/2P1P3/2q1QP2/4BBKP/1R6 w - -,e3c3 f7f5 b1a1 a8d8 f2e3 f5e4 f3e4 c6e4 g2g3 h7h5,517
rkbR4/p1r4p/Qp1pq2b/4Pp2/P3pP2/K3B3/1P2P2P/R4B2 w - -,,0
r1bqnrk1/p2n2pp/1p2p3/1p4b1/3P1B2/6P1/PP2PPBP/R2Q1RK1 w - -,e2e3 g5f4 g2a8 f4h6 a8g2 e8d6 e3e4 d7b8 d1d3 b8a6,-430
2q2rk1/5pbp/pr1p1np1/1bpP4/2Q1P3/2NB1P2/1P4PP/R1B2RK1 w - -,c4b3 c5c4 b3a3 c4d3 c1e3 c8b8 g1h1 d3d2 f1d1 f6d7,-342
