rn1qkbnr/ppp1pppp/3p4/8/2PP4/5b2/PP2PPPP/RNBQKB1R w KQkq -,b1c3 f3g4 g2g3 g8f6 f1g2 c7c6 h2h3 g4e6 d4d5 e6c8,-371
rnbq1rk1/ppp2ppp/5n2/2bPp1N1/2B5/8/PPPP1PPP/RNBQK2R w KQ -,d1e2 c7c6 d5d6 b7b5 c4b3 h7h6 g5e4 f6e4 e2e4 d8d6,-129
rn1qkb1r/ppp1pppp/3p1n2/7b/3P4/5N1P/PPPNPPP1/R1BQKB1R w KQkq -,g2g4 h5g6 g4g5 f6h5 e2e3 e7e5 h1g1 e5d4 f3d4 c7c5,96
rnbq1rk1/ppp1b1pp/3p1n2/5p2/2PPp3/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,f1e1 e4f3 e2f3 c7c6 d4d5 c6c5 c1d2 b8a6 c3e2 f6h5,-395
rnbqkb1r/pp3ppp/2pp4/4p3/2BPn3/5N2/PPP2PPP/RNBQK2R w KQkq -,c4b3 e5d4 d1d4 e4f6 c2c4 f8e7 b1c3 b8a6 h2h3 c8f5,-123
rnbqkb1r/ppp2ppp/5n2/4p3/3pP3/1PNP4/P1P2PPP/R1BQKBNR w KQkq -,c3a4 b7b5 a4b2 f8b4 c1d2 b4a3 a1b1 e8h8 g2g3 b8c6,-188
rnbqkb1r/pp2p1pp/2p2n2/2Pp1p2/3P4/4P3/PP3PPP/RNBQKBNR w KQkq -,g1f3 g7g6 b2b4 f8g7 b1d2 f6e4 d1c2 b7b6 a1b1 e8h8,37
r1bqk2r/pppp1ppp/2n5/2bnp3/2B1P3/5Q2/PPPP1PPP/R1B1K1NR w KQkq -,f3g3 d5f6 g3g7 h8f8 d2d3 d7d5 c1g5 d5c4 g5f6 c5b4,-761
rnbqkb1r/p4ppp/2pp1n2/1p2p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,c4f7 e8f7 a2a4 b5b4 c2c3 a7a5 d1b3 f7e7 b1d2 c8e6,-388
r1bqkb1r/ppp1pppp/2np4/4P3/5B2/2P5/PPP2PPP/R2QKBNR w KQkq -,e5d6 e7e5 f4e3 f8d6 g1f3 d8e7 f1c4 e8h8 f3g5 c6a5,-55
rnbq2nr/pppp2kp/6p1/2bQ4/3pP3/8/PPP2PPP/RNB1K1NR w KQ -,h2h4 d8e7 c1g5 e7d6 d5d6 c5d6 g1e2 h7h6 g5f4 d6f4,-707
rnbqk2r/p3bppp/2pp1n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R w KQkq -,e1h1 b8d7 c2c3 a8b8 a2a4 b5b4 c3b4 b8b4 c1d2 b4b8,25
r1bq2nr/pppp2kp/2n3p1/2Q5/3pP3/8/PPP2PPP/RNB1K1NR w KQ -,g1e2 d7d6 c5c4 g8f6 e2d4 c6e5 c4e2 d6d5 c1f4 h8e8,125
r1bk1bnr/ppp3pp/2n2p2/4p1N1/4P3/8/PPP2PPP/RNB1KB1R w KQ -,g5f7 d8e8 f7h8 c8e6 c1e3 f8d6 b1d2 e8d7 e1a1 g8e7,584
rnbqk2r/pp1p1ppp/4pn2/2p5/1bP5/1QN2N2/PP1PPPPP/R1B1KB1R w KQkq -,a2a3 b4a5 b3b5 a5c3 b2c3 b7b6 g2g3 e8h8 f1g2 d7d5,-23
rnbqkbnr/p7/8/1ppppppp/1PPPPPPP/8/P7/RNBQKBNR w KQkq -,d4e5 h5g4 d1d5 h8h4 h1h4 d8d5 c4d5 g5h4 f1b5 e8d8,159
8/5PK1/8/3k4/8/8/8/8 w - -,g4f5 d5e4 h4g5 d8d4 d1d4 c5d4 f5f6 f8b4 c1d2 b4d6,Mate
r1bqk1nr/1pp2ppp/p1nbp3/3p4/3P1B2/2P1P3/PP1N1PPP/R2QKBNR w KQkq -,g1f3 g8e7 f1d3 c8d7 e1h1 f7f6 f4g3 f6f5 a1c1 e8h8,97
r1bqk2r/1pp2ppp/p1nbpn2/3p4/3P4/2P1P1B1/PP1N1PPP/R2QKBNR w KQkq -,g1f3 c6e7 f1d3 c7c5 e1h1 e8h8 d1e2 d6g3 h2g3 d8b6,49
rnbqkb1r/4pppp/p2p1n2/1pp5/4P3/2N2NP1/PPPP1PBP/R1BQK2R w KQkq -,d2d4 c5d4 f3d4 e7e5 d4f5 c8f5 e4f5 b8d7 g2a8 d8a8,130
8/5k2/8/3K4/3P4/8/8/8 w - -,a2a3 e7e5 d2d3 f8e7 e1h1 e8h8 c1d2 b8c6 c3d5 f6d5,Mate
rn1qk2r/pbppnpbp/1p2p1p1/8/2B1P3/2NPBN2/PPP2PPP/R2QK2R w KQkq -,e3g5 h7h6 g5f4 b8c6 h2h4 e8h8 e1h1 d7d5 e4d5 e6d5,-60
r2qkb1r/pp2pppp/2p5/2pnP3/6b1/5N2/PPPP1PPP/RNBQ1RK1 w kq -,b1c3 f7f5 d2d4 e7e6 c1e3 d5b4 a1c1 g4f3 g2f3 c5d4,-66
rnb1kbnr/pp2qppp/8/2p5/3p4/2N3P1/PPPPQPBP/R1B1K1NR w KQkq -,c3e4 b8c6 d2d3 c8e6 c1f4 g8f6 e4f6 e7f6 g1f3 f8e7,108
8/8/8/8/8/k2K4/7Q/8 w - -,c3a4 b8a6 a2a3 c8e6 g1f3 e6d5 b2b3 f7f6 d2d3 g7g5,Mate
rn1qkbnr/pp2pppp/8/3p3b/2P5/5N1P/PP1P1PP1/RNBQKB1R w KQkq -,c4d5 d8d5 g2g4 h5g6 b1c3 d5e6 f1e2 g6d3 d1b3 e6b3,83
r1bqkbnr/pp2pppp/3p4/8/3nP3/3B4/PPP2PPP/RNBQK2R w KQkq -,e1h1 g7g6 b1c3 f8g7 c1e3 d4c6 d3b5 c8d7 c3d5 g8f6,-759
r2qk1nr/pp1b1ppp/2n1p3/3pP3/1b1P1P2/5N2/PP4PP/RNBQKB1R w KQkq -,e1e2 g8h6 c1d2 b4d2 b1d2 f7f6 d2b3 f6e5 d4e5 d8b6,-137
rnb1kbnr/ppp2ppp/8/q7/2P2p2/5N2/PP1P2PP/RNBQKB1R w KQkq -,d1e2 c8e6 b1c3 b8c6 d2d4 f8b4 e2c2 e6f5 f1d3 f5g4,-164
rnbq1rk1/p1pp1ppp/1p2pn2/6B1/2PP4/P1b2N2/1P2PPPP/R2QKB1R w KQ -,d1d2 c3d2 f3d2 c8b7 e2e3 h7h6 g5f6 d8f6 d2f3 d7d6,-1151
8/8/8/8/8/5k1p/8/7K w - -,,0
rnbqk2r/ppp1bpp1/4pn1p/3p2B1/3P4/2P2N2/PP1NPPPP/R2QKB1R w KQkq -,e2e3 h6g5 f3g5 c7c5 f1e2 f6d7 g5f3 b8c6 e1h1 d8c7,-403
8/8/8/8/7k/7p/8/7K w - -,,0
8/8/8/8/6k1/7p/8/6K1 w - -,,0
rnbq1rk1/ppp1bpp1/4pn1p/3p4/3P3B/2P2N2/PP1NPPPP/R2QKB1R w KQ -,e2e3 c7c5 f1d3 b7b6 d1e2 c8b7 f3e5 a7a5 f2f4 f6d7,47
r1bqk2r/pppp1ppp/2n5/4P3/1bP1n3/4PN2/PP3PPP/RNBQKB1R w KQkq -,b1c3 e4c3 b2c3 b4c3 c1d2 c3a1 d1a1 b7b6 d2c3 d8e7,-206
rnbq1rk1/pp2bpp1/4pn1p/2pp4/3P3B/2P1PN2/PP1N1PPP/R2QKB1R w KQ -,f1d3 b8d7 e1h1 c5c4 d3b1 b7b5 a2a3 c8b7 f3e5 d7e5,13
8/5k2/3Q4/4K3/8/8/b7/8 w - -,h2h3 b8d7 h4g3 d8b6 d1c2 e7d6 f3e5 b6c7 f2f4 b7b6,Mate
8/7p/7p/7p/5k1p/7p/7p/7K w - -,,0
rnbqkb1r/1p3ppp/p1p1pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R w KQkq -,b1d2 f8e7 e1h1 e8h8 d1c2 b7b6 e2e4 c8b7 f1d1 a6a5,96
rnbqkb1r/pp3pp1/2p1pn1p/8/2pP4/5NP1/PP2PPBP/RNBQ1RK1 w kq -,f3e5 a7a5 a2a4 f8b4 e5c4 e8h8 b1a3 b4e7 b2b3 f6d5,118
8/5k2/3Q4/5K2/8/8/8/1b6 w - -,e2e3 b7b5 f3e5 c8b7 b2b3 c4b3 d1b3 b8d7 f1d1 d7e5,Mate
3k4/8/3K4/1N2N1p1/8/8/8/8 w - -,e5g4 d8c8 b5a3 c8b7 a3c4 b7c8 d6c6 c8d8 c4e5 d8e7,107
rn1qkbnr/pp3ppp/2ppp3/8/2PP4/2N2P2/PP3PPP/R1BQKB1R w KQkq -,d4d5 e6d5 c4d5 g8f6 g2g3 b8d7 f1c4 f8e7 e1f1 a7a6,150
r1bqkbnr/4pppp/p2p4/2p5/3NP3/8/PPP2PPP/RNBQ1RK1 w kq -,c2c4 c5d4 d1d4 g8f6 b1c3 e7e6 d4d3 f8e7 f1d1 c8b7,-335
rn1q1rk1/pbp1bppp/1p2pn2/3p4/2PP1B2/1QN1PN2/PP3PPP/R3KB1R w KQ -,c4d5 f6d5 c3d5 d8d5 b3d5 b7d5 f4c7 b8c6 a2a3 f8c8,17
rnbqk2r/pp2npp1/2pb3p/3p4/3P4/2NB1N2/PPP2PPP/R1BQ1RK1 w kq -,c3e2 e8h8 e2g3 e7g6 f1e1 b8d7 c2c3 f8e8 e1e8 d8e8,50
8/8/2p5/2Q5/7k/5K2/8/8 w - -,h2h3 e8h8 c3e2 c8f5 c1f4 f5e4 d3e4 d5e4 f4d6 d8d6,Mate
r2qk2r/pppnnppp/3b4/3p4/8/5N2/PPPP1PPP/RNBQR1K1 w kq -,a2a4 e8h8 d2d4 h7h6 b1c3 a7a6 c3e2 e7g6 d1d3 d7f6,-21
8/8/8/8/8/1B1K4/1k2N3/8 w - -,a2a4 e8h8 d2d4 h7h6 b1c3 a7a6 c3e2 e7g6 d1d3 d7f6,Mate
rn1qkbnr/pp2pppp/2pp4/8/2PP4/5P2/PP3PPP/RNBQKB1R w KQkq -,b1c3 g7g6 c1e3 f8g7 h2h4 h7h5 f1e2 g8f6 d1b3 d8b6,111
r2qk2r/ppp2ppp/2np1n2/2b1p3/4P1b1/2P3P1/PP1PNPBP/RNBQ1RK1 w kq -,h2h3 g4e2 d1e2 a7a5 a2a4 h7h5 g1h1 d8d7 d2d3 e8a8,93
8/8/8/8/2K5/1BN5/1k6/8 w - -,a2a3 d8d7 g1h1 h7h5 f2f3 h5h4 f3g4 h4g3 d2d4 d7g4,Mate
rnb1kbnr/ppp3pp/3p4/5qB1/3Pp3/5N2/PPP2PPP/RN1QKB1R w KQkq -,b1c3 e4f3 d1d2 h7h6 g5e3 g8e7 e1a1 e8d8 d4d5 f5f7,-551
rnb1k2r/1pqp1ppp/p3pn2/8/1b1NPP2/2N2Q2/PPP3PP/R1B1KB1R w KQkq -,c1d2 b7b5 e4e5 b4c3 d2c3 f6d5 d4f5 e8h8 f5d6 c8b7,82
rn1qk2r/pp2ppbp/3p1np1/2pP4/2B1P1b1/2N2N2/PPP2PPP/R1BQK2R w KQkq -,e1h1 e8h8 a2a4 b8d7 c4e2 f6e8 c1g5 h7h6 g5e3 e8f6,100
r2qk2r/ppp1ppbp/2n3p1/3p4/3PnPb1/2PBPN2/PP4PP/RNBQ1RK1 w kq -,d1b3 c6a5 b3a4 c7c6 b1d2 e4d2 c1d2 g4f3 f1f3 e8h8,95
r2q1rk1/ppp1ppbp/2np1np1/8/4P1b1/2NP1NP1/PPP2PBP/R1BQ1RK1 w - -,h2h3 g4f3 d1f3 e7e5 f3d1 a7a5 c1e3 a5a4 c3b5 f8e8,49
r1bqkbnr/1ppp1ppp/p1n5/4N3/4P3/8/PPPP1PPP/RNBQKB1R w KQkq -,e5c6 d7c6 f1c4 g8f6 d2d3 f8d6 b1d2 b7b5 c4b3 e8h8,247
r1bqkbnr/1pp2ppp/p1p5/8/4P3/8/PPPP1PPP/RNBQKB1R w KQkq -,f1c4 g8f6 d2d3 f8d6 c4b3 b7b5 a2a4 e8h8 h2h3 f6d7,252
r2qk2r/ppp2ppp/2np1n2/2b1p2b/4P3/2P3PP/PP1PNPB1/RNBQ1RK1 w kq -,b2b4 c5b6 d2d3 a7a6 b1d2 b6a7 g3g4 h5g6 d2f3 e8h8,90
