5rk1/2p3p1/p2p4/1p1Pp1q1/PPPR2P1/1B1P1K2/5P2/R2Q3r w - -,f3e2 g5h4 d4f4 f8f4 e2d2 f4f2 d2c3 h1d1 a1d1 h4g4,Mate
3r1rk1/1ppb1pb1/3p4/pNnPp2n/2P1P2P/5P2/PP1Q2P1/R3K2R w KQ -,g2g4 h5f4 e1a1 b7b6 h1h2 d7b5 c4b5 f7f6 d2c2 g8f7,98
5r1k/pppr3p/nn1p4/1b1PppQ1/4P3/5P2/PP1K3P/6R1 w - -,g5h6 d7f7 e4f5 b6d5 d2c1 a6c5 b2b4 d5b4 g1g4 b4d5,-923
r3q2r/ppp3k1/3p1nn1/8/4P3/1PN5/1PP3Q1/1K4RR w - -,,0
1rbq2k1/2p2ppp/2p1r3/p2pP3/3Pn3/5N2/PP1B1PPP/RNQ2RK1 w - -,d2g5 d8d7 g5f4 g7g5 f3g5 e4g5 f4g5 e6g6 f2f3 d7f5,442
6r1/4rk2/1p1nppp1/p2p3p/P2P1N1P/2P3R1/1P3PP1/4R1K1 w - -,g3e3 g8e8 g2g3 d6f5 e3e2 f5g7 f2f3 e7c7 e1a1 c7c4,3
r1bqkb1r/p1p2ppp/1pn1pn2/3p4/3P4/1P2PN2/P1P1BPPP/RNBQK2R w KQkq -,c1b2 f8d6 c2c4 e8h8 e1h1 c6b8 d1c2 b8d7 b1c3 c8b7,52
r2qk1nr/pp3ppp/2nbp3/3p3b/3P4/1BP2N1P/PP3PP1/RNBQK2R w KQkq -,d1e2 g8e7 e1h1 d8c7 f1e1 e8h8 e2d3 h5g6 d3e2 h7h6,-63
5rk1/p1p2R1p/3b4/3q1b2/3B4/2P2P2/PP1KQ2P/7R w - -,h1g1 f5g6 f7g7 g8h8 g7g6 d5d4 c3d4 h7g6 g1g6 f8g8,1059
1r5k/2p2prp/p1pp1Q2/8/5P2/P4R1P/b1P3P1/6K1 w - -,f7e7 f8f6 h1g1 f5g6 e2e4 d5e4 e7e4 f6f3 e4e2 f3d3,Mate
rnb1kbnr/ppp2ppp/8/8/4p2q/1P1PP3/P1P3PP/RNBQKBNR w KQkq -,e1e2 c8g4 g1f3 e4f3 g2f3 g4f3 e2f3 h4h5 f3f2 h5d1,-759
5rk1/2N2pp1/p2p3p/2p1p3/P3Pn2/1n3P2/2P2P1P/4K3 w - -,c2b3 f8b8 c7a6 b8b3 a6c7 b3a3 c7e8 a3a4 e8d6 a4a1,-721
