r2qkb1r/ppp2ppp/4pn2/3p1b2/1n1P4/1P3NP1/P1P1PPBP/RNBQ1RK1 w kq -,f3h4 f5c2 d1d2 f6e4 g2e4 c2e4 b1c3 f8e7 c1a3 a7a5,-171
rnb1kbnr/pp3ppp/8/3qN3/3pp3/2P5/PP3PPP/RNBQKB1R w KQkq -,e5c4 d4d3 c4e3 d5e5 b1d2 b8c6 d1a4 f7f5 d2c4 e5e6,-306
r2qkb1r/pp1n1ppp/2p1pnb1/3p4/3P1B1N/2P1P3/PP1N1PPP/R2QKB1R w KQkq -,f1e2 d8b6 h4g6 h7g6 e1h1 f8e7 h2h3 e8h8 a2a4 c6c5,67
r1bqkbnr/pp2pppp/2n5/2p5/2Pp1B2/3P1N2/PP2PPPP/RN1QKB1R w KQkq -,f3e5 c6e5 f4e5 f7f6 e5f4 e7e5 f4d2 c8d7 e2e4 f8d6,-72
rnbqk2r/p1p2ppp/1p1bpn2/3p4/2PP4/2N3B1/PP2PPPP/R2QKBNR w KQkq -,g1f3 e8h8 e2e3 c8b7 c4d5 f6d5 c3d5 b7d5 f1d3 h7h6,29
r1bqk1nr/pp1nppb1/2pp3p/6p1/2PPP3/3B1N1P/PP3PP1/RNBQK2R w KQkq -,b1c3 e7e6 c1e3 g8e7 d1c2 e8h8 e1a1 f7f5 e4f5 e6f5,75
rnbqkb1r/pp2pp1p/5np1/2pp4/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,e4e5 d5c4 e5f6 c4d3 c1e3 e7f6 c2d3 b8c6 b1c3 c8e6,-103
rnbqkb1r/pp2pp1p/6p1/2pn4/2B5/3P1N2/PPP2PPP/RNBQK2R w KQkq -,f3e5 e7e6 d1f3 d8f6 f3e2 f6e7 e1h1 f8g7 f1e1 e7d6,38
r2qkb1r/1p2pppp/p1n2nb1/4p3/2B2BP1/2N2N1P/PP3P2/R2Q1RK1 w kq -,f4h2 d8d1 f1d1 f6d7 c4d5 f7f6 f3h4 d7c5 h4g6 h7g6,-237
r2qk2r/pb1pppbp/1pn2np1/2p5/2P5/2N1PNP1/PP1P1PBP/R1BQ1RK1 w kq -,d2d4 c5d4 e3d4 e8h8 f1e1 a8c8 b2b3 d7d5 c1a3 f8e8,70
rnbqkb1r/1pp2ppp/p3pn2/3p4/P2P1B2/4P3/1PP2PPP/RN1QKBNR w KQkq -,b1d2 c7c5 g1f3 f8d6 d4c5 d6c5 f1d3 e8h8 e1h1 b8c6,12
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP4/2N1P3/PPQ2PPP/R1B1KBNR w KQ -,h2h3 c7c5 g1f3 c5d4 e3d4 b8c6 c1e3 c8f5 c2b3 c6a5,-115
r1bqkb1r/pp1p1ppp/2n2n2/4p3/2B1P3/5N2/PB3PPP/RN1Q1RK1 w kq -,f3g5 f8c5 c4f7 e8f8 f7b3 d8e7 g1h1 d7d6 b1c3 f8e8,211
r2qk1nr/1p1bbppp/p1npp3/2p5/2B1PP2/2NP1N2/PPP3PP/R1BQ1RK1 w kq -,d1e1 b7b5 c4b3 b5b4 c3d1 a6a5 a2a4 b4a3 b2a3 a5a4,86
r1bqk2r/pp2bppp/2n1pn2/2pp4/2P5/1P2PNP1/P2P1PBP/RNBQK2R w KQkq -,c4d5 f6d5 b1c3 e7f6 c1b2 b7b6 d2d4 c8a6 c3d5 d8d5,-58
r1b1kbnr/pp3ppp/1qn5/1BppP3/8/5N2/PP1P1PPP/RNBQK2R w KQkq -,a2a4 a7a6 b5c6 b7c6 e1h1 g8e7 a4a5 b6c7 b1c3 a8b8,-69
r1bq1rk1/ppp1bppp/2np1n2/4p3/1PB1P3/2PP1N2/P4PPP/RNBQ1RK1 w - -,b1d2 d6d5 e4d5 f6d5 d2e4 a7a6 a2a4 c8f5 c1b2 f5e6,64
r1bqkb1r/pp2pp1p/2n3pn/1B1pP3/3P4/8/PP3PPP/RNBQK1NR w KQkq -,h2h3 e7e6 g1f3 h6f5 e1h1 c8d7 b1c3 h7h5 b5a4 d8b6,97
rnbqk2r/pppp2pp/4p3/5p2/2PPn3/5NP1/PP1QPP1P/RN2KB1R w KQkq -,d2e3 d7d6 f1g2 d8f6 b1c3 e4c3 e3c3 e8h8 e1h1 b8d7,98
rnbqkb1r/p2p1ppp/1pp1pn2/8/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,e2e4 d7d6 d2d4 c8a6 d1a4 d8d7 c1f4 b6b5 a4c2 a6b7,124
r1bqk2r/1ppp1ppp/2n2n2/p1b1p3/4P3/2NP2P1/PPP2PBP/R1BQK1NR w KQkq -,g1f3 d7d6 e1h1 e8h8 h2h3 a5a4 c3b5 c8e6 c2c4 h7h6,-20
rn1qkb1r/pp3ppp/2p2n2/3p2B1/3P2b1/2N1P3/PP3PPP/R2QKBNR w KQkq -,g5f6 d8d7 f2f3 d7e6 f6g5 f7f6 g5f4 g7g5 f4b8 e6e3,842
r2qk1nr/ppp1ppbp/2n3p1/8/2pPP1b1/2N1BN2/PP3PPP/R2QKB1R w KQkq -,f1c4 e7e6 d4d5 g4f3 g2f3 e6d5 d1d5 d8d5 c3d5 e8a8,140
rn1qkb1r/ppp1pp1p/5p2/3p4/3P2b1/5N2/PPP1PPPP/RN1QKB1R w KQkq -,c2c4 c7c6 e2e3 d8b6 b1d2 b8d7 h2h3 g4f3 d1f3 b6b2,63
rnq1kb1r/pp3ppp/4pn2/3p1b2/3P1B2/1QP2N2/PP3PPP/RN2KB1R w KQkq -,f3h4 f5e4 b1d2 b8c6 d2e4 f6e4 f1d3 h7h6 f4e3 f8e7,58
q6r/1b2kpp1/p3p3/P7/1pN1P3/3B1PQ1/1P4Pr/R5K1 w - -,g3c7 e7f8 c4d6 a8e8 d6e8 f8e8 c7b8 e8e7 b8b7 e7d6,1157
r1b1kb1r/pp3ppp/2n1p3/1Bpq4/3P4/5N2/PPP2PPP/R1BQK2R w KQkq -,e1h1 c5c4 a2a4 a7a6 b5c6 b7c6 d1e2 f8e7 f3d2 c6c5,87
rnbq1rk1/ppp1bppp/4p3/3p4/3PnP2/2PBPN2/PP4PP/RNBQK2R w KQ -,a2a4 c7c5 b1d2 f7f5 e1h1 b8c6 d3b5 c8d7 d2e4 d5e4,-41
rnb1k1nr/ppp2p1p/3p1qp1/2b1p2Q/2B1P3/3P1N2/PPP2PPP/RNB1K2R w KQkq -,c4b5 c7c6 h5g5 f6g5 c1g5 c6b5 b1c3 c8d7 c3d5 b8a6,-653
r1bqk2r/p2pnpbp/1pn1p1p1/2p5/2P5/1PN1P1P1/P2PNPBP/R1BQK2R w KQkq -,e1h1 e8h8 d2d4 c5d4 e2d4 d7d5 d4c6 e7c6 c1b2 c8a6,59
rnb1k2r/ppp2p2/3p1npp/2b1p3/2B1P3/3P1N2/PPP2PPP/RNB1K2R w KQkq -,c1d2 a7a5 a2a4 e8e7 h2h3 c7c6 c4a2 b8d7 b1c3 d7f8,-17
r2qkbnr/1p1b1ppp/p1n1p3/1B1pN3/3P4/2N5/PPP2PPP/R1BQK2R w KQkq -,e5d7 d8d7 b5c6 d7c6 c3e2 f8d6 e1h1 g8f6 c1f4 e8h8,-28
r1bqk2r/pp2bppp/2nppn2/8/2BNP3/2N2P2/PPP3PP/R1BQK2R w KQkq -,c1e3 e8h8 c4b3 c8d7 d1e2 d8b8 a2a4 a7a6 e1h1 c6d4,29
r1bqkb1r/ppp2ppp/2np1n2/4p3/4P3/3P2P1/PPP1NP1P/RNBQKB1R w KQkq -,e2c3 c8g4 f1e2 g4d7 f2f4 c6d4 b1d2 c7c6 d2f3 d8b6,-71
r1bqkb1r/pp1p1p1p/2p2np1/4p3/2B1P3/2NQ1n2/PPPP1PPP/R1B1K2R w KQkq -,e1e2 f3d4 e2f1 f8g7 c3e2 d7d5 e4d5 c8f5 d3c3 f6d5,-766
r2qkb1r/pppb1ppp/5n2/3Pp3/QnB5/2N1P3/PP3PPP/R1B1K1NR w KQkq -,c4b5 b4d5 c3d5 f6d5 g1f3 f7f6 b5d7 d8d7 a4d7 e8d7,-182
