4Q3/5ppk/7p/1R6/2p3bP/P3BB1q/P4P1K/8 w - -,d1c1 d5c4 b3c4 c5d4 f3d4 e8h8 f1e2 d8c7 b2a3 b4a3,Mate
2B5/8/8/p3ppk1/2K5/1P5P/P4b2/8 w - -,c8a6 e5e4 c4d5 g5f4 d5e6 f2h4 a6f1 h4e1 f1b5 e4e3,-29
1k5r/1ppr2p1/pb2p2p/8/3nN3/5Q2/PPP2PPP/2KR4 w - -,f3d3 h8d8 c1b1 d7d5 c2c4 d5e5 f2f4 e5h5 b2b4 c7c6,223
8/2p5/5kP1/2p2P2/2P5/8/6K1/7q w - -,f3d3 h8d8 c1b1 d7d5 c2c4 d5e5 f2f4 e5h5 b2b4 c7c6,Mate
4b3/2k2p2/p3p1p1/1pK1P1Pp/1P2BP1P/P7/8/8 w - -,f4f5 e6f5 e4d5 c7d7 c5b6 d7d8 b6a6 d8c7 a6a7 c7c8,414
4q1k1/6p1/p4p2/1p3Q2/8/4r1RP/PP1r3K/2N3R1 w - -,c1e2 e3g3 h2g3 e8e2 g3h4 g7g5 g1g5 f6g5 f5g5 g8f7,-690
r2qr1k1/1p3ppp/2pb1n2/p2p4/3P4/P1N3PP/1PQBPP2/R4RK1 w - -,d2g5 h7h6 g5f6 d8f6 c2d3 h6h5 h3h4 e8e6 g1g2 a8e8,-29
rnbqkbnr/pp4pp/2p2p2/3pp3/8/N1P2P1N/PP1PP1PP/R1BQKB1R w KQkq -,h3f2 f8d6 e2e4 c8e6 d2d4 e5d4 d1d4 b8d7 e4d5 e6d5,-40
r3k2r/1p3ppp/p1n1bn2/q2Pp1B1/8/P1N5/P1P2PPP/R2QKB1R w KQkq -,d5c6 a5c3 g5d2 c3c6 d1f3 c6c2 f1d3 c2b2 a1b1 b2d4,-144
r4rk1/pp1bb1pp/1qn1pp1n/3pP3/1P1P2P1/P4N2/1B1QBP1P/RN3RK1 w - -,b1c3 h6g4 c3a4 b6d8 b4b5 c6a5 a4c5 a5c4 e2c4 d5c4,-139
1r1q1r2/p3npkp/b2pp1p1/2p5/4P3/2PPN1P1/P3QPBP/R4RK1 w - -,a1c1 e7c6 f2f4 b8b7 e2d2 d8b6 h2h4 h7h5 f1f2 f8b8,-2
8/8/2N5/8/5KB1/8/3k4/8 w - -,f4e4 d2c3 g4e6 c3c2 e4d4 c2d2 e6g4 d2c2 g4f5 c2b3,9605
Q1b2rk1/p1p2ppp/8/2b1P3/8/1P2B1P1/1PqNK2P/R6R w - -,a8e4 c2e4 d2e4 c5b4 h1c1 c8f5 a1a7 f8e8 c1c7 b4f8,502
8/p7/8/1P6/3k3K/8/8/8 w - -,,0
2rqrnk1/p3bppp/bpp1p3/8/2PPnN2/PP1B4/1B3PPP/R2QR1K1 w - -,f4e6 f8e6 e1e4 e7f6 d1d2 c8c7 a1e1 c7e7 a3a4 e6f8,-346
3r1b1k/p2n1p1p/2q2p2/4pP2/2ppR2Q/1P4P1/P6P/2B1R1K1 w - -,b3c4 f8c5 c1h6 d8g8 e1d1 a7a5 h2h3 c5f8 h6f8 g8f8,-67
rn1qkbnr/pp1bpppp/3p4/8/3pP3/5N2/PPPQ1PPP/RNB1KB1R w KQkq -,f3d4 g8f6 b1c3 b8c6 b2b3 c6d4 d2d4 g7g6 c1b2 f8h6,17
2q2rk1/5pp1/2p4p/4P3/1P3Q2/6P1/2PR3P/3K4 w - -,f4d4 c8f5 d4f4 f5c8 d1e1 c6c5 b4b5 c8b7 c2c4 g7g5,26
r1n1k2r/pp3p1b/2p2p2/3p1Pbp/3P4/2NBPN2/PP3KPP/R6R w kq -,f3g5 f6g5 h2h4 g5g4 f2g3 c8d6 g3f4 e8e7 c3e2 a7a5,32
8/p3b1k1/1pQ3p1/4P2p/2B5/1P1p2P1/3q1P2/R5K1 w - -,a1a7 g7h6 a7e7 d2e2 c4d3 e2d3 c6c1 g6g5 e7e6 d3g6,1528
4Q3/5ppk/7p/1R6/2p4P/P3Bb1q/P4P2/6K1 w - -,c6d7 d2g5 a1a7 g5e5 d7e7 e5e7 a7e7 g7f8 e7d7 d3d2,Mate
8/8/8/4N3/5KB1/8/8/2k5 w - -,f4e3 c1c2 e3d4 c2b2 e5c4 b2b3 g4f5 b3b4 c4d2 b4b5,144
6k1/1bQ4p/4P1p1/pp1p4/8/3q3B/P5PK/8 w - -,f4e3 c1c2 e3d4 c2b2 e5c4 b2b3 g4f5 b3b4 c4d2 b4b5,Mate
7R/8/8/5K2/8/3pp3/3k4/8 w - -,,0
8/r7/5pk1/PRR5/7P/5K2/1PP5/8 w - -,h8h1 e3e2 f5e4 e2e1q h1e1 d2e1 e4d3 e1f2 d3c4 f2f3,Mate
4kbr1/5p2/1rnp1P2/p3p3/4P3/PNN5/1PP5/1K1R3R w - -,d1d5 a5a4 c3a4 b6b8 b3a5 c6a5 d5a5 e8d7 h1d1 g8g3,399
3q1r2/p3npkp/br1pp1p1/2p5/4P3/2PPN1P1/P2Q1PBP/R4RK1 w - -,f1b1 d8c7 b1b3 f8b8 e3g4 e7g8 g4e3 h7h5 h2h4 g8e7,-3
8/8/8/8/5KB1/5N2/1k6/8 w - -,f4e3 b2a1 g4e6 a1b1 e3d3 b1b2 d3d2 b2b1 d2c3 b1a1,198
4q1k1/6p1/p4p2/1p3Q2/8/4r1RP/PP4rK/2N5 w - -,h2g2 e3g3 g2g3 e8e1 g3h2 e1c1 f5e6 g8h7 e6e4 h7h6,Mate
4r1k1/p2n3p/1p1q2pb/3pp2n/bP2P3/PN4P1/1B1N1PBP/Q1R3K1 w - -,e4d5 d7f6 d2c4 d6f8 b3d2 f6g4 g2f3 h5f6 d5d6 e5e4,134
r2q1rk1/pp2ppbp/6p1/n1p5/3PP1b1/2P1BN2/P3BPPP/R2Q1RK1 w - -,d1a4 a5c6 a1d1 d8d7 d4c5 d7c7 a4c2 f8d8 c2b2 a8c8,54
4k3/2p3p1/3r4/4P3/6n1/1B3N2/2P2K2/8 w - -,f2g3 d6g6 f3h4 g4e5 h4g6 e5g6 g3g4 e8d7 g4f5 g6e7,-25
r1bq2rk/pp3pp1/2n1p2p/3pP2Q/3P4/2PB4/2NK1P1P/2R3R1 w - -,g1g7 h8g7 c1g1 d8g5 g1g5 h6g5 c2e3 g7f8 e3g4 f8e7,396
8/8/8/5B2/5K2/5N2/8/k7 w - -,f4e3 a1b2 e3d3 b2b3 f3d4 b3b2 d3d2 b2a1 d2c3 a1a2,194
r1n1k2r/pp3p1b/2p5/3p1Ppp/3P4/2NBP3/PP3KPP/R6R w kq -,h2h4 g5g4 f2g3 e8e7 g3f4 c8d6 a1c1 f7f6 h1e1 e7f7,46
r2qr1k1/1p3pp1/2pb1n1p/p2p2B1/3P4/P1N3PP/1PQ1PP2/R4RK1 w - -,g5f6 d8f6 c2d3 f6g5 g1g2 e8e6 a1e1 a8e8 h3h4 g5g4,-22
rnbqk2r/ppppp1b1/5n1p/6p1/3P1p1P/8/PPP1PPPB/RN1QKBNR w KQkq -,c2c3 c7c5 e2e3 d8b6 f1d3 f4e3 f2e3 d7d5 b1d2 f6g4,-18
5rk1/6pp/p3p3/1p1pp3/6n1/N1P3P1/PP2QqPP/2R4K w - -,e2f2 g4f2 h1g1 f2d3 c1c2 g8f7 a3b1 f7e7 c2e2 e5e4,-453
8/1pK5/p1p1p3/P2p4/1P1Pk3/4P3/8/8 w - -,c7b7 e4e3 b7c6 e3f4 b4b5 e6e5 c6d5 e5e4 b5b6 e4e3,957
1Q4rk/3rq2p/p7/1p1P2p1/2p5/6P1/P1R2P1P/3R2K1 w - -,,0
8/6b1/r4pk1/p2R4/Pp1P2P1/8/1PP5/1K3R2 w - -,b1a2 g7h6 d5b5 a6a7 b5b6 a7f7 d4d5 g6g5 b6a6 g5g4,575
r1bq1rk1/4bppp/p1nppn2/8/1p2P1P1/2NBQN1P/PPPB1P2/2KR3R w - -,c3b1 c8b7 g4g5 f6d7 h3h4 d7c5 h4h5 a8c8 h1h4 d8c7,-177
3q1r2/p4pkp/brnpp1p1/2p5/4P3/2PPN1P1/P2Q1PBP/RR4K1 w - -,b1b6 d8b6 e3g4 f7f6 a1d1 c6e5 d2h6 g7g8 g4e5 d6e5,21
r7/1pp1b1qk/p1r1npp1/2P1p2p/1P1pP2P/P2P1NP1/3NRP2/R1Q3K1 w - -,c1d1 b7b6 d2c4 e6d8 c5b6 c7b6 e2c2 e7f8 a1c1 g7b7,-9
1q4k1/6p1/p4p2/1p3Q2/8/4r2P/PP4RK/2N5 w - -,h2h1 e3e1 g2g1 b8b7 h1h2 b7c7 g1g3 e1c1 f5d5 c7f7,Mate
rnb1kb1r/pp3ppp/5q2/3p2N1/2B5/8/P4PPP/RN1Q1RK1 w kq -,d1d5 f8e7 g5f7 e8h8 f7e5 g8h8 b1d2 b8c6 e5f7 h8g8,260
r4rk1/4qpp1/p3b2p/1p1p4/3P4/1B6/P4PPP/R2QR1K1 w - -,e1e5 f8d8 d1d3 a8c8 a1e1 e7f6 a2a4 b5a4 b3a4 a6a5,-83
4k3/2p3p1/1r6/4P3/6n1/1B3N2/2P1K3/8 w - -,e2d3 b6b4 f3d4 g4e5 d3c3 c7c5 d4e6 b4g4 e6c5 e8e7,-289
r1n1k2r/pp3p1b/2p5/3p1P1p/3P2pP/2NBP3/PP3KP1/R6R w kq -,f2g3 e8e7 a1c1 c8d6 g3f4 e7f6 e3e4 d5e4 c3e4 d6e4,57
6rk/4q2p/pQ1r4/1p1P2p1/2p5/6P1/P1R2P1P/3R2K1 w - -,b6d4 e7f6 d4c5 g8d8 c2e2 h8g8 a2a4 f6f3 e2d2 f3f5,22
4kb2/5p2/1rnp1Pr1/p2Rp3/4P3/PNN5/1PP5/1K5R w - -,b3a5 c6d4 a5c4 b6c6 d5a5 c6c4 a5a8 e8d7 c3d5 c4c8,422
3r1k2/1p2r3/p2p1P1p/3Bb1pN/2P3P1/P7/1P1n4/1K3R2 w - -,b1a2 d2f1 f6e7 f8e7 a2b3 f1e3 d5e4 d8b8 a3a4 e3g4,-694
2r1r2k/p1qnn1pp/1p3p2/2ppp2N/3PP3/P1Q2P2/1PP3PP/2KRR1B1 w - -,a3a4 e5d4 c3b3 c7c6 b3b5 d5e4 e1e4 d7e5 c2c3 d4c3,-189
8/2p5/6P1/2p1pPk1/2P4p/5K2/8/8 w - -,a3a4 e5d4 c3b3 c7c6 b3b5 d5e4 e1e4 d7e5 c2c3 d4c3,Mate
r1bqk2r/1pp1bppp/1nn5/p3p3/8/2NP1NP1/PP2PPBP/R1BQ1RK1 w kq -,c1e3 e8h8 e3b6 c7b6 e2e3 c8f5 d3d4 e5d4 f3d4 c6d4,25
8/6p1/2rk1p1p/R3nP2/2PK2PP/8/8/8 w - -,a5b5 c6c4 d4e3 c4g4 h4h5 e5c6 b5b6 g4b4 b6a6 b4h4,-603
R7/3rkppp/p1r5/1p6/1P4P1/P6P/5P2/3R3K w - -,,0
rn1q1rk1/1b2bpp1/p3pn1p/1p6/3P3B/2NB1N2/PP2QPPP/R4RK1 w - -,a2a4 b5a4 c3a4 a6a5 a4c5 b7f3 e2f3 b8d7 f1d1 f6d5,-14
4rn1k/1br3qp/p3P1p1/1p1p4/8/3N1R1B/P3Q1P1/5R1K w - -,d3e5 d5d4 f3f7 g7h6 f7c7 h6h3 h1g1 h3g2 e2g2 b7g2,429
3r2k1/pp1r1ppp/2p1bn2/2q5/4P3/2N2P2/PPQ1B1PP/3R1R1K w - -,c2b1 h7h6 d1d7 d8d7 b1c1 b7b5 a2a3 a7a5 c3b1 c5d6,-56
r3r1k1/1p3pp1/2pb1q1p/p2p4/3P4/P1N3PP/1PQ1PP2/R4RK1 w - -,e2e3 h6h5 h3h4 g7g5 c2e2 g5h4 e2h5 f6g7 h5h4 e8e6,-39
1k5r/1ppr2p1/pbn1p2p/8/4N3/2P2Q2/PP3PPP/2KR4 w - -,d1d7 c6e5 f3g3 e5d7 g3g7 h8d8 c1c2 h6h5 g7e7 b8c8,512
r3r3/1p1P2kp/pn3qp1/2p1Np2/Pnb1pP2/1QN1R1P1/1P5P/3R2K1 w - -,d7e8n a8e8 e5c4 b6c4 b3c4 f6c6 d1d2 h7h5 h2h4 b4d3,347
8/1K6/p1p1p3/P2p4/1P1P4/4k3/8/8 w - -,b7c6 e3f4 b4b5 e6e5 c6d5 e5e4 b5b6 e4e3 b6b7 e3e2,1212
8/8/8/5k2/6N1/4K2B/8/8 w - -,e3f3 f5e6 f3e4 e6f7 e4e5 f7g6 g4h2 g6g7 h3e6 g7g6,199
2B5/8/8/4pp2/1K3k2/7P/P4b2/8 w - -,,0
r3k2r/pp3p1b/2pn4/3p1P1p/3P2pP/2NBP1K1/PP4P1/R6R w kq -,g3f4 e8e7 a1c1 f7f6 b2b4 a7a6 a2a4 h8d8 c1a1 h7g8,39
r1bqn1k1/pppp1ppp/8/8/4QB2/2b5/PPP2PPP/R4BK1 w - -,b2c3 d7d5 e4f3 c8f5 c3c4 f5e4 f3e3 e8f6 c4d5 d8d5,-31
rnbq1rk1/1pppppbp/5np1/8/p7/1P2PN2/PBPPBPPP/RN1Q1RK1 w - -,c2c4 a4b3 a2b3 a8a1 b2a1 b8a6 d2d4 d7d6 b1d2 c7c5,35
rnb1kb1r/pp3ppp/8/3Q2N1/2B5/8/P4PPP/qN3RK1 w kq -,c2c4 a4b3 a2b3 a8a1 b2a1 b8a6 d2d4 d7d6 b1d2 c7c5,Mate
6rk/6qp/p2r4/1p1P2p1/2pQ4/6P1/P1R2P1P/3R2K1 w - -,d4c5 g7e5 a2a4 g8d8 c2d2 d8b8 a4b5 a6b5 d2b2 d6b6,38
8/r4k2/1R3p2/P1R5/7P/5K2/1PP5/8 w - -,d4c5 g7e5 a2a4 g8d8 c2d2 d8b8 a4b5 a6b5 d2b2 d6b6,Mate
r3k2r/pp1n1ppp/2p1p3/2bq4/8/5PN1/PPP3PP/R1BQ1R1K w kq -,c1d2 e8h8 b2b3 d7f6 d1e2 f8d8 a1d1 c5b6 f3f4 d5d4,-117
8/8/5B2/1K4p1/2p3P1/1k6/1P1b4/8 w - -,,0
r2qkb1r/ppp2ppp/3p1n2/4p3/2BnPPb1/1PN2N2/P1PP2PP/R1BQK2R w KQkq -,c4e2 g4f3 e2f3 e5f4 c1b2 c7c6 e1h1 g7g5 c3a4 c6c5,-46
3r1rk1/ppp1b1p1/2n3q1/4p3/4N1Np/2PP3P/1PbBQPP1/4RR1K w - -,d3d4 e5d4 e4c5 c2f5 c5b7 d4d3 e2d1 d8b8 b7a5 c6a5,-108
N1bk1b1r/p2p1ppp/1p6/8/1n6/3n1N2/PPP2PPP/R1B1K2R w KQ -,e1d1 d3f2 d1d2 f2h1 f3g5 h8g8 g5f7 d8e8 f7g5 f8d6,-468
r2q2k1/pp4bp/4p1p1/1N6/2Pp4/1Q2n1P1/PP2P1BP/R5K1 w - -,g1h1 a8c8 a1c1 a7a6 b5a3 b7b5 c4c5 d8f6 b3d3 f6f2,-76
8/7p/6p1/k5P1/1pK2P1P/8/8/8 w - -,c4d3 b4b3 d3c3 a5a4 c3b2 a4b5 b2b3 b5c5 f4f5 c5d6,391
r1bq1rk1/1pp1bppp/1nn5/p3p3/8/2NPBNP1/PP2PPBP/R2Q1RK1 w - -,a1c1 c8e6 d3d4 e5d4 f3d4 c6d4 d1d4 b6c4 g2b7 a8b8,29
r1bqn1k1/ppp2ppp/8/3p4/4QB2/2P5/P1P2PPP/R4BK1 w - -,e4f3 c8f5 c3c4 f5e4 f3e3 e8f6 c4d5 e4c2 e3d2 c2e4,-25
rnq1kb1r/pp3ppp/2p1pnb1/3p4/2PP3N/1QN5/PP2PPPP/R1B1KB1R w KQkq -,h4g6 h7g6 c1f4 f8e7 e2e3 e8h8 f1e2 d5c4 b3c4 b8d7,38
r7/1pp1b1qk/p1r1np2/2P1p1pp/1PNpP2P/P2P1NP1/4RP2/R1Q3K1 w - -,c4a5 a8g8 a5c6 b7c6 c1f1 g5h4 f3h4 g7g4 h4f5 g4f3,184
r2qk2r/pp2bppp/2npbn2/1N2p3/4P3/5PP1/PPP3BP/RNBQ1RK1 w kq -,b1a3 d8b6 g1h1 h7h5 h2h3 d6d5 e4d5 f6d5 c2c4 d5b4,-87
r6r/pp1k1p1b/2pn4/3p1P1p/3P1KpP/2NBP3/PP4P1/R6R w - -,b2b4 d7e7 b4b5 e7f6 b5c6 b7c6 e3e4 d5e4 c3e4 d6e4,86
3r2rk/6qp/p7/1pQP2p1/2p5/6P1/P1R2P1P/3R2K1 w - -,d5d6 g8e8 c2d2 c4c3 d2c2 d8c8 c5d5 e8d8 d1e1 d8e8,225
