r1bqk1nr/ppp2pbp/2np2p1/4p3/3P1B2/2PBP3/PP3PPP/RN1QK1NR w KQkq -,g1e2 e5f4 e2f4 g7h6 d1f3 g8f6 b1d2 d6d5 h2h4 c8g4,-692
r1bqk2r/ppp1bppp/2n2n2/3p4/3P1B2/2N1P3/PP3PPP/R2QKBNR w KQkq -,a1c1 c8f5 f1e2 e8h8 g1f3 c6a5 e1h1 c7c6 a2a3 f8e8,71
r1bq1rk1/ppp1bppp/2n2n2/3p4/3P1B2/2NBP3/PP3PPP/R2QK1NR w KQ -,a2a3 e7d6 f4g5 h7h6 g5f6 d8f6 c3d5 f6e6 d3c4 e6g6,83
6R1/5K1k/8/5b2/8/8/8/8 w - -,f4g3 c6b4 d3b1 c7c6 h2h3 b4a6 g1f3 a6c7 e1h1 g7g6,Mate
rnbqk2r/pp3ppp/2pbp3/3p4/2PP2n1/2N1PN2/PP3P1P/R1BQKB1R w KQkq -,f1d3 f7f5 c1d2 e8h8 d1e2 b8d7 e1a1 d8e7 d1g1 d5c4,-125
rnbqkb1r/pp3ppp/4pn2/2ppN3/8/4PQ2/PPPP1PPP/RNB1KB1R w KQkq -,f3d1 f8d6 d2d4 e8h8 b1d2 d8c7 f2f4 b7b5 c2c3 c8a6,-117
r1bq1rk1/1pp2ppp/p1np1n2/2b1p3/2B1P3/2PPBN2/PP3PPP/RN1Q1RK1 w - -,d3d4 c5b6 d4e5 c6e5 f3e5 d6e5 d1d8 f8d8 e3b6 c7b6,17
rnbqk2r/pppp1ppp/4pb2/8/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq -,e2e4 d7d5 b1d2 e8h8 f1d3 c7c5 d4c5 b8d7 d2b3 a7a5,26
r1bqk1nr/pppp1pp1/7p/8/2BnP3/8/PPP2PPP/RN1QK2R w KQkq -,d1d4 d7d5 d4d5 d8d5 c4d5 g8f6 b1c3 c7c6 d5b3 c8e6,161
rnbqk2r/pp2ppbp/3p1np1/8/3PPB2/2N5/PP3PPP/R2QKBNR w KQkq -,f1e2 e8h8 g1f3 c8g4 f4e3 b8c6 d4d5 g4f3 g2f3 c6e5,56
rnbqk2r/pp2p1bp/5np1/3p4/3P4/5N2/PP3PPP/RNBQKB1R w KQkq -,f1d3 b8c6 h2h3 f6e4 e1h1 e8h8 b1c3 c6d4 d3e4 d5e4,47
rnbqk2r/ppp1nppp/8/3pP3/1bP5/2N5/PP2PPPP/R1BQKBNR w KQkq -,c1d2 c8e6 c4d5 e7d5 c3d5 b4d2 d1d2 d8d5 d2d5 e6d5,95
rn1qk1nr/pbp2ppp/1p2p3/3p4/3PP3/2PB1N2/P1P2PPP/R1BQK2R w KQkq -,e4d5 d8d5 e1h1 g8f6 c3c4 d5d6 a2a4 c7c5 d4c5 b6c5,95
r1bqkb1r/pp1npppp/3p1n2/4P3/3p4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,e5e6 d4c3 e6d7 c8d7 b2c3 e7e5 a1b1 d8c7 f1e2 f8e7,-268
rnbqk2r/ppp2ppp/4pb2/3p4/3P4/5NP1/PPP1PP1P/RN1QKB1R w KQkq -,h2h4 c7c5 c2c3 e8h8 e2e3 b8c6 f1g2 d8e7 b1d2 f8d8,-79
8/8/8/2p5/2P1K3/2k5/8/8 w - -,h2h4 c7c5 c2c3 e8h8 e2e3 b8c6 f1g2 d8e7 b1d2 f8d8,Mate
8/8/8/8/2p5/1k6/3K4/8 w - -,h2h4 c7c5 c2c3 e8h8 e2e3 b8c6 f1g2 d8e7 b1d2 f8d8,Mate
r1bq1rk1/1ppp1pp1/p1n2n1p/1Nb1p3/2B1P3/3P1N2/PPP2PPP/R1BQ1RK1 w - -,c1e3 c5e3 b5c7 e3f2 f1f2 d8c7 f3h4 c7b6 d1d2 f6g4,-730
8/8/8/8/8/8/1k1K4/2q5 w - -,c1e3 c5e3 b5c7 e3f2 f1f2 d8c7 f3h4 c7b6 d1d2 f6g4,Mate
r2qk2r/ppp2ppp/2np1n2/4p3/1bB1PPb1/2NP4/PPP1N1PP/R1BQK2R w KQkq -,d1d2 g4e2 d2e2 c6d4 e2d1 b7b5 c4b3 b4c5 f4e5 d6e5,-54
rnbqkbnr/1pp2ppp/p3p3/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,d2d4 c7c5 e1h1 c5d4 f3d4 g8f6 b1c3 b8d7 e2e4 f6e4,62
