5k1r/p4p2/3N3p/3pb3/8/4BP2/1r4P1/5RK1 w - -,d6f5 b2a2 f1c1 a2a1 c1a1 e5a1 e3a7 f8e8 f5e3 d5d4,-424
r1bqk2r/pppp1ppp/2n2n2/8/3pP3/2NP1N2/PPP2PPP/R2QKB1R w KQkq -,,0
r2qkbnr/pppbpppp/2n5/8/4Q3/2P5/PP1P1PPP/RNB1KBNR w KQkq -,f1c4 g8f6 e4e2 e7e5 d2d3 f8d6 g1f3 c6a5 b1d2 e8h8,-59
r1bqkb1r/pp3ppp/2n2n2/2pp4/2P1p3/3P1NP1/PP2PPBP/RNBQ1RK1 w kq -,d3e4 d5d4 e2e3 c8g4 h2h3 g4f3 d1f3 f6d7 f3e2 f8e7,228
rnbq1rk1/pp2p1bp/2p2ppn/3pP3/3P4/2NB1N1P/PPP2PP1/R1BQK2R w KQ -,e5f6 e7f6 e1h1 f8e8 f1e1 e8e1 d1e1 b8d7 a2a4 a7a5,70
r1b1kbnr/1pqppppp/p1n5/1Bp5/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,b5d3 g8f6 e1h1 d7d6 d3c2 c8g4 h2h3 g4h5 d2d4 c5d4,-36
8/8/2K5/8/1k6/8/8/Q7 w - -,b5d3 g8f6 e1h1 d7d6 d3c2 c8g4 h2h3 g4h5 d2d4 c5d4,Mate
r2qk1nr/ppp2ppp/2n1p3/5b2/2BP4/P1b1PN2/1P3PPP/R1BQK2R w KQkq -,e1e2 c3a5 b2b4 a5b6 a3a4 a7a5 b4a5 c6a5 c4d3 g8e7,-676
rn1qkb1r/pp1b1ppp/4pn2/1Bp5/3P4/4PN2/PP3PPP/RNBQK2R w KQkq -,d1e2 c5d4 f3d4 f8c5 b5d7 b8d7 d4f3 e8h8 e1h1 a8c8,-24
8/Q7/2K5/8/1k6/8/8/8 w - -,b5c4 d8c7 b1d2 c5d4 e3d4 f8d6 c4d3 d7c6 e1h1 e8h8,Mate
r2qkbnr/ppp2pp1/2np2bp/4p3/2B1P1P1/P1N2N1P/1PPP1P2/R1BQK2R w KQkq -,d2d3 h6h5 g4g5 h5h4 d3d4 g8e7 d4d5 c6b8 f3h2 g6h5,87
r2qkbnr/pb1p1ppp/2p1p3/8/2B1P3/8/PPP2PPP/RNBQK2R w KQkq -,b1c3 d8c7 d1e2 g8f6 e4e5 f6d5 c1d2 f8e7 e1a1 a7a5,35
r1bqk2r/pp1pnpbp/2n1p1p1/2p5/2B1PB2/2NP1N2/PPP2PPP/R2QK2R w KQkq -,c3b5 d7d5 b5c7 e8f8 c7a8 d5c4 d3c4 d8d1 a1d1 g7b2,289
rnbqkbnr/ppp1pp1p/3p2p1/8/8/2P1P3/PP1P1PPP/RNBQKBNR w KQkq -,d2d4 g8f6 g1f3 f8g7 f1d3 e8h8 e1h1 d6d5 b1d2 c7c5,22
1K6/8/2k5/7R/8/8/8/8 w - -,c3c4 g8f6 d2d4 f8g7 g1f3 e8h8 f1e2 e7e5 b1c3 d8e7,Mate
2K5/8/3k4/7R/8/8/8/8 w - -,c3c4 g8f6 d2d4 f8g7 g1f3 e8h8 f1e2 e7e5 b1c3 d8e7,Mate
8/1K6/4k3/7R/8/8/8/8 w - -,c3c4 g8f6 d2d4 f8g7 g1f3 e8h8 f1e2 e7e5 b1c3 d8e7,Mate
8/2R5/2K5/4k3/8/8/8/8 w - -,c3c4 g8f6 d2d4 f8g7 g1f3 e8h8 f1e2 e7e5 b1c3 d8e7,Mate
8/3R4/2K5/8/4k3/8/8/8 w - -,c3c4 g8f6 d2d4 f8g7 g1f3 e8h8 f1e2 e7e5 b1c3 d8e7,Mate
r1bqk1nr/pp3pbp/2n1p1p1/2pp4/2B1PB2/2NP1N2/PPP2PPP/R2QK2R w KQkq -,c3d5 e6d5 e4d5 c6a5 d1e2 d8e7 c4b5 c8d7 b5d7 e8d7,-126
r2qkbnr/ppp2ppp/2np4/4p3/3PP1b1/1P3N2/P1P2PPP/RNBQKB1R w KQkq -,c1b2 c6d4 b2d4 e5d4 f1e2 g4f3 e2f3 d8f6 e1h1 g8e7,-79
7n/4N1kp/3Q3p/2p3pP/3b2P1/1r6/1r1q4/K4RB1 w - -,c1b2 c6d4 b2d4 e5d4 f1e2 g4f3 e2f3 d8f6 e1h1 g8e7,Mate
r1bqkb1r/pp1pnppp/2n1p3/8/2Pp4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,e3d4 d7d5 c4c5 e7f5 f1b5 g7g6 e1h1 f8g7 b2b4 e8h8,84
r1bqk2r/p3ppbp/2ppn1p1/4P3/2P4Q/5N2/PP3PPP/RNB1R1K1 w kq -,e5d6 d8d6 b1c3 h7h5 c1e3 e8h8 a1d1 d6c7 c3a4 g7f6,59
r1b1k2r/p3ppbp/2pqn1p1/8/2P4Q/5N2/PP3PPP/RNB1R1K1 w kq -,c4c5 d6c5 b1c3 c5h5 h4h5 g6h5 c1e3 h8g8 c3a4 c8a6,-62
r2qk1nr/pp2ppbp/2np2p1/2p5/4P1b1/5NP1/PPPP1PBP/RNBQR1K1 w kq -,a2a4 e7e5 h2h3 g4e6 c2c3 g8e7 b2b4 c5b4 c3b4 c6b4,-17
r1bqkbnr/pp2pp1p/2np2p1/2p5/2B1P3/2PP4/PP3PPP/RNBQK1NR w KQkq -,d3d4 f8g7 d4d5 c6a5 c4d3 e7e6 c3c4 g8f6 b1c3 e8h8,21
r1bqkb1r/pp1ppppp/2n5/2p1P3/6n1/N4N2/PPPP1PPP/R1BQKB1R w KQkq -,e5e6 d7e6 c2c3 g4f6 d2d3 f6d5 g2g3 g7g6 h2h4 h7h5,-136
rnbqkb1r/pppp3p/5pp1/8/2B1pP1N/2P5/PPP3PP/R1BQK2R w KQkq -,f4f5 d7d5 f5g6 h7g6 h4g6 h8h7 d1d5 d8d5 c4d5 b8d7,346
r1bqkb1r/ppp1pppp/2n2n2/1B1p4/8/4PQ2/PPPP1PPP/RNB1K1NR w KQkq -,d2d4 c8g4 f3f4 e7e6 g1f3 f8d6 f3e5 e8h8 b5c6 b7c6,-116
r1bqkb1r/ppp2ppp/2n2n2/3p4/3P4/2P2Q2/PP3PPP/RNB1KBNR w KQkq -,g1e2 h7h6 h2h3 f8d6 e2g3 c6e7 f1d3 e8h8 g3h5 f6h5,-48
r1bqkb1r/ppp3pp/2n2n2/4pp2/8/2N3N1/PPPP1PPP/R1BQKB1R w KQkq -,d2d3 c8e6 f1e2 d8d7 f2f4 f8c5 f4e5 c6e5 c1f4 e5g6,-223
