8/8/4k3/6R1/5p2/5P2/2r1K3/8 w - -,,0
8/ppb2k1p/5pp1/4p3/2P3P1/1P3N1P/P3KP2/8 w - -,f3e1 f6f5 g4f5 g6f5 f2f3 f7f6 b3b4 e5e4 e1c2 f6e5,-50
3r1k2/4rP1p/P7/2p3P1/2B4p/1P6/3p1K2/3R4 w - -,c4b5 f8f7 g5g6 h7g6 b5c6 f7g7 c6h1 g7h6 h1f3 e7f7,-602
rn1qkb1r/1p3ppp/p3pn2/2Pp2B1/8/2N1PP2/PPP2P1P/R2QKB1R w KQkq -,c3a4 f8c5 a4c5 d8a5 d1d2 a5c5 a2a3 h7h6 g5h4 b8c6,28
2k5/6R1/r5p1/P3Kp1p/5P1P/6P1/8/8 w - -,e5d4 c8d8 d4c3 a6a5 g7g6 d8e7 c3d2 a5a8 g6g5 a8a3,283
r3kb1r/2qp1ppp/p1b1p3/4P3/Pp4Q1/3B4/1PP2PPP/R1B1R1K1 w kq -,h2h4 a6a5 h4h5 f8e7 c1f4 g7g5 f4e3 h7h6 b2b3 e8h8,140
5k2/1p1q2bp/p5p1/2p1pr2/2R4P/1PP2P2/1P4P1/3R2K1 w - -,d1d7 e5e4 c4e4 b7b6 b3b4 c5b4 e4b4 b6b5 b4e4 f8g8,509
5rk1/2q2pp1/1r2pb1p/p2p4/2pP1P2/P1P3P1/1P2Q2P/1BR2RK1 w - -,f1f2 g7g6 h2h4 f8b8 c1c2 h6h5 b1a2 f6e7 g1h2 b8b7,-80
r2q1rk1/ppp1n1pp/2nb1p2/3pN3/3P1B2/2P4P/PP2QPP1/RN3RK1 w - -,e5c6 b7c6 f4d6 c7d6 f1e1 e7g6 b1d2 d8d7 a2a4 a8e8,53
8/R7/6bk/4Kp1p/p6P/r1B2PP1/1P6/8 w - -,e5c6 b7c6 f4d6 c7d6 f1e1 e7g6 b1d2 d8d7 a2a4 a8e8,Mate
r1bqk2r/pp3ppp/2n1pn2/2b5/3pPB2/2NQ4/PPP2PPP/2KR1BNR w kq -,c3e2 e6e5 f4g5 c8e6 a2a3 d8a5 g5f6 g7f6 c1b1 b7b5,-259
1r1b2k1/1q4pp/p2p1r2/3Rp3/2p1P1R1/2P1BP2/PP3Q1P/2K5 w - -,f2g2 b7f7 g2e2 f6f3 d5d6 d8e7 d6d7 f3f1 d7d1 f1d1,13
r1bqk2r/p1ppbpp1/2p2n1p/8/4P2B/2N5/PPP2PPP/R2QKB1R w KQkq -,d1d4 d7d5 e1a1 e8h8 e4d5 c6d5 h4f6 e7f6 d4d5 c8e6,47
8/8/4k2p/6p1/2N1ppP1/8/3K1P1P/8 w - -,d2c2 e6d5 c2c3 e4e3 f2e3 d5e4 c3d2 e4f3 c4e5 f3e4,613
3nn3/1p3kp1/r2P3p/8/3BP3/1R5P/5PP1/1R4K1 w - -,b3b7 f7g6 d6d7 e8f6 b7b8 f6d7 b8d8 a6d6 d4e3 g6f6,705
5k2/5pp1/8/2qp4/6p1/2P1P1P1/5K1P/2RR4 w - -,,0
rnb2rk1/ppp2p2/4pBp1/4P2Q/3P4/8/P4PPP/b4K1R w - -,d1d2 c5c6 f2g1 c6c4 c1c2 c4b3 d2e2 f8g8 g1f2 b3b1,Mate
rnbqk2r/pp1p2pp/4pn2/8/1bp1PB2/2N5/PPP2PPP/R2QKBNR w KQkq -,f1c4 b8c6 c4d3 e8h8 g1e2 b4c3 b2c3 d7d5 e4d5 d8d5,83
4k3/2q4p/p4rp1/1p1Rb3/1P2P3/P4P1Q/2P3PP/1K6 w - -,d5c5 f6c6 c5c6 c7c6 h3h7 c6d6 b1a2 e8f8 h7a7 d6e6,-135
8/8/4k3/6R1/5p2/3K1P2/8/2r5 w - -,,0
8/4kp2/6p1/r3K1PP/3R4/8/8/8 w - -,,0
8/4k3/3np3/pB1b4/P1pP4/2P1K3/8/1N6 w - -,,0
8/3kn3/8/4PPPK/4N2P/8/8/8 w - -,e4c5 d7c6 f5f6 e7d5 f6f7 c6c5 f7f8q c5d4 g5g6 d4e4,1425
8/2k5/R7/1P2p1p1/P1r5/7P/3K4/8 w - -,a6c6 c4c6 b5c6 c7c6 d2d3 c6b6 d3e4 b6a5 e4e5 a5b4,9605
1r6/5p2/R2Nk1p1/4P2p/1n1K1P1P/1P4P1/8/8 w - -,a6a7 b4c6 d4c5 c6a7 b3b4 a7c8 d6e4 c8b6 e4g5 e6e7,-426
N1bkr3/1p1p1pp1/p7/2p2P2/2P3P1/3P1B1p/PR6/7K w - -,a8b6 e8e3 f3e4 e3g3 a2a4 d7d5 h1h2 g3g4 c4d5 g7g5,419
r2qkb1r/1b1n1ppp/p3pn2/1p1p4/3P4/2NBPN2/PP1B1PPP/R2Q1RK1 w kq -,b2b4 f8b4 c3b5 b4e7 b5c3 e8h8 a2a4 e7d6 a1b1 b7c6,30
8/R7/6bk/4K2p/p4p1P/r4PP1/1P1B4/8 w - -,b2b4 f8b4 c3b5 b4e7 b5c3 e8h8 a2a4 e7d6 a1b1 b7c6,Mate
2r1rnk1/pbq3pp/1p3p2/3nP3/3P4/P2B2N1/5RPP/2BQ1RK1 w - -,e5f6 d5f6 c1g5 f8d7 g3f5 g8h8 g5f4 c7c6 f5d6 c6d5,342
6r1/p4r1k/1b3P1q/n1p5/1p2p3/3B1N1R/P4P1P/6RK w - -,g3h5 c7f7 d1g4 g8h8 c1d2 c8c7 e5f6 g7g6 h5f4 d5e3,Mate
