8/8/2k5/4K3/8/4N1B1/8/8 w - -,e5d4 c6b6 d4d5 b6b7 d5c5 b7a6 c5c6 a6a7 g3c7 a7a8,8061
rnbqkbnr/1ppp1p2/p6p/6p1/2BPPp2/5N2/PPP3PP/RNBQK2R w KQkq -,h2h4 f8g7 f3e5 g7e5 d4e5 b8c6 h4g5 d8g5 e1h1 g5e7,84
r1bq1rk1/ppp3pp/2n2n2/3p4/1b6/2N1PN2/PPPB1PPP/R2QKB1R w KQ -,a2a3 b4c5 b2b4 c5b6 f1e2 d5d4 c3a4 d4e3 f2e3 d8e8,125
rnbqk2r/pp1p1ppp/2p2n2/2b1p3/2P1P3/3P4/PP2BPPP/RNBQK1NR w KQkq -,b1c3 d7d5 c4d5 c6d5 e4d5 f6d5 g1f3 b8c6 e1h1 c5b6,-54
8/8/3K4/3N4/2k2B2/8/8/8 w - -,f4e3 c4d3 d6e5 d3c4 d5f4 c4c3 e5d5 c3c2 d5c4 c2d1,7807
r1bqk2r/pppnbpp1/3p1n1p/4p1B1/3PP3/2NB1N2/PPP2PPP/R2QK2R w KQkq -,g5f6 e7f6 d4d5 e8h8 a2a4 a7a5 d3b5 d7c5 h2h3 f6e7,-54
8/8/2k5/8/4K3/4N1B1/8/8 w - -,e4d4 c6b6 d4d5 b6b5 g3h4 b5b6 e3c4 b6b7 h4g3 b7a7,8011
rnbqkbnr/1p1ppp1p/p5p1/2p5/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,g1f3 d7d6 d2d4 c5d4 f3d4 f8g7 c1e3 g8f6 f2f3 e8h8,63
8/8/8/3kP3/2p2P2/2K5/8/8 w - -,a2a4 b8c6 d2d3 d7d6 g1e2 f8g7 c1e3 g8f6 f2f3 e7e6,Mate
rn1qkb1r/pp2p1pp/2p5/3p1p2/3PnPb1/3BPN2/PPP3PP/RNBQ1RK1 w kq -,c2c4 e7e6 c4d5 e6d5 d1b3 d8b6 b3c2 b8d7 f3e5 d7f6,76
r1bqkb1r/1p2pppp/p1np1n2/2p5/4P3/3P1N1P/PPP1BPP1/RNBQK2R w KQkq -,e1h1 e7e5 c2c3 c8d7 b1d2 f8e7 d2c4 d7e6 c1g5 b7b5,6
rnbqkb1r/1p3ppp/p4n2/3p4/3N4/2P1B3/PP3PPP/RN1QKB1R w KQkq -,f1d3 f8d6 b1d2 e8h8 h2h3 f8e8 e1h1 h7h6 f1e1 d8c7,21
8/8/4k3/4P3/2p2P2/8/2K5/8 w - -,d1c2 f8d6 h2h3 b8c6 f1d3 c6e5 b1d2 e8h8 d3f5 d6c7,Mate
r1bqk1nr/ppp2ppp/1bnp4/8/N3PP2/5N2/PPP3PP/R1BQKB1R w KQkq -,a4b6 a7b6 f1d3 g8e7 e1h1 d6d5 e4e5 c8f5 h2h3 f5d3,80
rnb1kb1r/1pp2ppp/p3pn2/q7/3P4/2N2N2/PPPB1PPP/R2QKB1R w KQkq -,f1c4 a5h5 c3e2 f8d6 e2f4 d6f4 d2f4 h5a5 c2c3 b7b5,153
rnbqkb1r/ppp2ppp/8/4N3/4p3/8/PPP2PPP/RNBQKB1R w KQkq -,d1d8 e8d8 e5f7 d8e8 f7h8 c8e6 b1c3 f8b4 c1g5 b4c3,945
rnb1kbnr/ppp1qppp/8/4N3/2B1p3/8/PPPP1PPP/RNBQK2R w KQkq -,e5f7 g8f6 f7h8 c8g4 c4e2 g4e2 d1e2 b8c6 b1c3 c6b4,607
rn1qkbnr/ppp1pppp/8/3p3b/4P3/5N1P/PPPP1PP1/RNBQKB1R w KQkq -,e4d5 d8d5 g2g4 h5g6 b1c3 d5a5 b2b4 a5b6 a2a4 e7e6,116
R7/8/2k5/8/8/4K3/8/R7 w - -,d2d4 d5e4 g2g4 e4f3 g4h5 g8f6 b1c3 e7e5 d1f3 e5d4,Mate
6K1/8/8/q6k/4Q3/8/1q6/8 w - -,e4f5 h5h4 f5a5 b2b3 g8g7 h4g4 a5e5 b3f3 e5e6 g4g3,Mate
r1bqk2r/ppp1b1pp/2np1n2/1B2pp2/4P3/3P1N2/PPP2PPP/RNBQR1K1 w kq -,d3d4 e8h8 e4f5 c6d4 f3d4 e5d4 d1e2 c7c6 b5d3 f6d5,29
rn1q1rk1/pb2bppp/1p3n2/2pp2B1/3P4/2NBPN2/PP3PPP/R2Q1RK1 w - -,f3e5 b8d7 g5f4 d7e5 d4e5 f6e4 c3e4 d5e4 d3c4 d8d1,55
rnbqr1k1/ppp2pbp/3p1np1/4p3/3P4/1P1BPN2/PBPN1PPP/R2QK2R w KQ -,d3f1 e5e4 f3g1 f6g4 h2h3 g4h6 g1e2 h6f5 d1c1 d6d5,-91
r1bqkbnr/pppp2pp/5p2/4p3/2BnP1P1/5Q2/PPPP1P1P/RNB1K1NR w KQkq -,f3d1 c7c6 c4g8 h8g8 c2c3 d4e6 d2d4 d7d5 c1e3 d8b6,-196
