r1b1kb1r/1p1n1ppp/p2p1n2/4pNB1/4PP2/2N5/PqPQ2PP/R3KB1R w KQkq -,g5f6 b2a1 e1f2 g7f6 c3d5 a1a2 f4e5 e8d8 f5d6 f8d6,-528
r2qkbnr/pp1b1ppp/2n1p3/1B1p4/3P4/2N1P3/PP3PPP/R1BQK1NR w KQkq -,a2a3 f7f5 b5e2 a8c8 g1f3 g8f6 f3e5 f6e4 e5d7 d8d7,-20
rn1qkb1r/pp3ppp/2p1p2n/3pP3/3P1Pb1/2N2N2/PPP3PP/R1BQKB1R w KQkq -,d1d3 h6f5 f1e2 c6c5 f3g5 c5c4 d3d2 h7h5 h2h3 g4e2,-90
r1bqkb1r/ppp2pp1/2np1n1p/4p3/2B1P3/1P3N2/P1PP1PPP/RNBQ1RK1 w kq -,d2d4 c8g4 c4b5 e5d4 b1d2 a7a6 b5c6 b7c6 h2h3 g4h5,46
8/1N6/8/2K5/2B5/k7/8/8 w - -,d2d3 f8e7 f1e1 e8h8 b1d2 c6a5 c1b2 c7c6 d3d4 a5c4,Mate
rn1qkb1r/ppp2ppp/3pbn2/4p3/2PP4/2N1P3/PP3PPP/R1BQKBNR w KQkq -,g1f3 b8d7 f1e2 f8e7 e3e4 e6g4 c1e3 e8h8 d1c2 g4f3,97
r2qkb1r/1pp1pppp/p4n2/3p1b2/3P1B2/2NPPN2/PP3PPP/R2QK2R w KQkq -,f3e5 c7c6 d1b3 a8a7 a1c1 e7e6 c3a4 f8d6 h2h3 e8h8,97
rnbq1rk1/pp3ppp/2p1pn2/3p4/2PP4/2bBPN2/PP1B1PPP/R2QK2R w KQ -,e1h1 c3d2 f3d2 b8d7 f2f4 a7a6 g2g4 g7g6 g4g5 f6h5,-776
rnbq1rk1/pp2ppbp/3p1np1/8/2BPP3/2N4P/PP3PP1/R1BQK1NR w KQ -,c4b3 b8c6 g1f3 b7b5 e1h1 b5b4 c3d5 f6d5 b3d5 c8b7,46
r1bqkbnr/pp1ppp1p/2n3p1/2p3N1/4P3/8/PPPP1PPP/RNBQKB1R w KQkq -,g5f3 g8f6 b1c3 f8g7 f1b5 c6d4 b5c4 d7d5 c3d5 f6e4,-98
rnbqkbnr/ppp2p1p/3p4/8/4Pp1p/2N2Q2/PPPP2P1/R1B1KBNR w KQkq -,d2d4 b8c6 f1b5 a7a6 b5c6 b7c6 c1f4 h7h5 f3e3 g8e7,98
rnbqk1nr/ppp2pbp/3pp1p1/8/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq -,d3d4 g8e7 h2h4 h7h6 e2e4 b8c6 b1c3 a8b8 e1h1 b7b5,77
r2qkbnr/1b1p1ppp/p1n1p3/1pp5/4P3/P2P3P/BPP2PP1/RNBQK1NR w KQkq -,c1e3 g8f6 b1d2 d7d5 g1f3 d5e4 d3e4 d8c7 e1h1 a8d8,-49
r1bq1rk1/pppp1ppp/2n2n2/4p3/2P5/2bP1NP1/PP2PPBP/R1BQK2R w KQ -,d1d2 c3d2 f3d2 c6d4 a1b1 d7d5 c4d5 f6d5 d2f3 d4c6,-1184
r1b1kbnr/p1p1pppp/1pn5/8/4P3/2N5/PPP2PPP/R1BK1BNR w kq -,c3d5 e8d7 g1f3 f7f6 f1c4 e7e5 d1e2 f8d6 h1d1 g8e7,33
r1bq1rk1/pppp1ppp/2n2n2/2b3B1/3NP3/2N5/PPP2PPP/R2QKB1R w KQ -,g5e3 d8e8 d4c6 c5e3 c6d4 e3h6 d1e2 e8d8 d4f5 h6f4,-122
r1bqkb1r/ppp2pp1/2n2n1p/3p4/3P4/2PB1N2/PP3PPP/RNBQK2R w KQkq -,d1e2 f8e7 e1h1 e8h8 c1f4 e7d6 f4d6 d8d6 e2c2 f8e8,20
r1b1k1nr/pp1n1pp1/2pp1q1p/2b1p3/2B1P3/2NPBN2/PPP2PPP/R2Q1RK1 w kq -,d3d4 c5b6 a2a4 g8e7 a4a5 b6c7 d4d5 e8h8 b2b4 a7a6,139
r1bqkb1r/1pp2ppp/p1n1pn2/8/2BP4/4PN2/PP1N1PPP/R1BQK2R w KQkq -,a2a3 f8d6 d1c2 d8e7 e1h1 e6e5 f1e1 e8h8 e3e4 f8e8,86
8/8/8/3K4/k1B5/8/4N3/8 w - -,c4e2 f8d6 d1c2 e8h8 e1h1 c6b4 c2b1 b4c6 e3e4 e6e5,Mate
rn1qkb1r/ppp1pp1p/5np1/8/3PP1b1/2N2N2/PP3PPP/R1BQKB1R w KQkq -,d1b3 g4f3 g2f3 b8d7 e4e5 f6h5 b3b7 f8g7 b7c6 a8b8,235
r1bqk1nr/ppp2ppp/2np4/2b1p3/2P1P3/5NP1/PP1P1P1P/RNBQKB1R w KQkq -,h2h3 f7f5 b1c3 g8f6 d2d3 f5e4 d3e4 e8h8 f1g2 d8e8,-133
r2qk1nr/ppp2ppp/2np4/2b1p3/2P1P1b1/5NP1/PP1P1PBP/RNBQK2R w KQkq -,d1b3 h7h5 h2h3 g4f3 b3f3 c6d4 f3d1 h5h4 g3g4 g8e7,-170
r1bqk2r/pp2bppp/2n2n2/2p1p3/2Pp4/2NP1NP1/PP2PPBP/R1BQ1RK1 w kq -,c3e4 f6e4 d3e4 c8e6 b2b3 h7h5 h2h4 d8d7 d1c2 f7f6,-208
1k6/8/1K1b4/8/8/8/6Q1/8 w - -,c3e4 f6e4 d3e4 c8e6 b2b3 h7h5 h2h4 d8d7 d1c2 f7f6,Mate
rnbqk1nr/pp3ppp/2pb4/3pp3/4P3/2PP4/PP1N1PPP/R1BQKBNR w KQkq -,g2g3 f7f5 g1f3 f5e4 d3e4 g8f6 f1g2 a7a5 b2b3 e8h8,-60
rn1qk2r/pbp1ppbp/1p1p1np1/8/3PP3/3BBN2/PPPN1PPP/R2QK2R w KQkq -,e1h1 e8h8 f1e1 b8d7 c2c3 a7a5 a2a4 f8e8 e3g5 e7e5,75
rnbq1rk1/pp3ppp/4pn2/3pN3/1b1P4/2N5/PPPB1PPP/R2QKB1R w KQ -,e5f3 b4c3 d2c3 f6e4 c3d2 d8b6 d2c1 e6e5 c2c3 b8c6,-35
r1bqkb1r/ppp2ppp/2np1n2/8/3PP3/5P2/PP4PP/RNBQKBNR w KQkq -,b1c3 d6d5 e4e5 f6d7 f3f4 d7b6 g1f3 f8e7 f1e2 c8f5,95
r2qk2r/ppp2ppp/2n1pn2/b2p4/3P1Bb1/2PBPN2/PP1N1PPP/R2QK2R w KQkq -,d3b5 a5b6 d1a4 e8h8 b5c6 b7c6 a4c6 f6h5 f4g5 d8e8,202
rn1qkb1r/pp2pppp/2p2nb1/8/4p1P1/1PN4P/PBPP1P2/R2QKBNR w KQkq -,a2a3 h7h5 g4g5 f6d5 h3h4 d5c3 b2c3 b8d7 f1g2 e7e5,-125
rnbq1rk1/pp2pp1p/3p1bp1/2p5/2B1P3/5Q2/PPPP1PPP/R1B1K1NR w KQ -,f3e3 b8c6 c2c3 e7e6 c4e2 d6d5 g1f3 d5d4 e3d3 b7b6,-86
rn1qkb1r/pp2pppp/2p2n2/5b2/4p3/1PN4P/PBPP1PP1/R2QKBNR w KQkq -,a2a3 h7h5 d1e2 b8d7 g2g3 d8b6 f1g2 h8h6 c3d1 e7e6,-151
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P1P1/2PP1Q2/PP3P1P/RNB1K1NR w KQ -,b1d2 f6g4 g1h3 a7a5 a2a4 h7h6 f3g2 d8f6 h1g1 g4h2,-274
rnbqkb1r/1p2pppp/pn1p4/4P3/2BP4/5N2/PP3PPP/RNBQK2R w KQkq -,c4b3 d6d5 h2h3 c8f5 f3h4 f5d7 f2f4 e7e6 h4f3 d8c7,90
r1bqkbnr/pp3ppp/2n1p3/4P3/3p1P2/3P4/PP4PP/RNBQKBNR w KQkq -,b1d2 g8e7 d2e4 e7d5 c1d2 d8b6 g1f3 f8e7 d1b3 b6b3,-99
8/8/8/8/8/8/1k2K3/3R4 w - -,b1d2 g8e7 d2e4 e7d5 c1d2 d8b6 g1f3 f8e7 d1b3 b6b3,Mate
rn1qkbnr/ppp3pp/4pp2/3p4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,c2c4 f8d6 f4d6 d8d6 f1e2 g8e7 e1h1 e8h8 b1c3 c7c6,98
r1b1kbnr/ppp1pppp/8/4n3/8/2PB4/PP1P1PPP/RNB1K1NR w KQkq -,d3b5 c7c6 d2d4 c8f5 d4e5 c6b5 g1f3 e7e6 e1h1 g8e7,-50
r1bqkbnr/ppp2ppp/2n5/3pp3/8/P2P2P1/1PP1PP1P/RNBQKBNR w KQkq -,b2b4 h7h5 h2h4 g8f6 f1g2 a7a5 b4b5 c6d4 g1f3 d4f3,-62
rnbqkbnr/pppp1ppp/8/3p4/2P1P3/8/PP3PPP/RNBQKBNR w KQkq -,b1c3 d5e4 c3e4 f8b4 c1d2 d8e7 d1c2 g8f6 d2b4 e7b4,-142
