r1bqkb1r/ppp1p1pp/2np4/8/3Pn3/3B1N2/PPP2PPP/R1BQK2R w KQkq -,d1e2 e4f6 h2h3 g7g6 e1h1 f8g7 c2c3 e8h8 f1e1 e7e6,-378
r2qkb1r/ppp1pppp/2np4/7n/3P1Bb1/4PN2/PPP1BPPP/RN1QK2R w KQkq -,d4d5 c6b8 h2h3 g4d7 f4h2 g7g6 e3e4 f8g7 e4e5 d6e5,123
r1bqkbnr/ppp2ppp/6n1/3p4/5B2/2P4P/PP2PPP1/RN1QKBNR w KQkq -,f4d2 f8c5 g1f3 g8f6 e2e3 d8e7 f1d3 e8h8 e1h1 c5d6,-119
r1bqkb1r/pp2pp1p/2np1np1/8/4P3/3Q1N2/PPP2PPP/RNB1KB1R w KQkq -,h2h3 f8g7 b1c3 d8a5 c1d2 c6b4 d3b5 a5b5 f1b5 c8d7,-70
r1bqkb1r/ppp2ppp/2n2n2/3pp3/2BPP3/2N5/PPP2PPP/R1BQK1NR w KQkq -,d4e5 c6e5 c4d5 f8b4 g1e2 d8e7 c1e3 c7c6 d5b3 f6e4,70
r1bqkbnr/pp1ppppp/8/2p5/4P3/1BPn4/PP1P1PPP/RNBQK1NR w KQkq -,e1e2 d3c1 d1c1 e7e6 g1f3 b7b6 h1e1 c8a6 d2d3 f8e7,-75
r1bqkbnr/pppp1p1p/2n3p1/8/2B1P3/1Q3N2/Pp3PPP/RNB1K2R w KQkq -,c1g5 f8b4 e1f1 b2a1q c4f7 e8f8 g5d8 c6d8 f7g8 h8g8,-805
r1b1k1nr/pppp1ppp/8/4q3/1b6/2NQ4/PPP1PPPP/R1B1KB1R w KQkq -,c1d2 g8f6 e1a1 e8h8 a2a3 b4c5 f2f4 e5d4 d3f3 d4f2,96
r1b1k2r/pppp1ppp/5n2/4q3/1b6/2NQ4/PPPBPPPP/R3KB1R w KQkq -,e1a1 d7d6 f2f4 e5c5 e2e4 c8g4 d1e1 e8a8 a2a3 b4c3,95
4R3/1b1q3k/5ppp/8/1B6/6PP/5P2/6K1 w - -,,0
r1q1kbnr/pQpnpppp/2N3b1/8/2P5/3pP3/PP1P1PPP/RNB1KB1R w KQkq -,b7c8 a8c8 b1c3 e7e5 e3e4 g8e7 c6e7 f8e7 f1d3 d7c5,350
r1bqkb1r/pppppppp/2n2n2/8/3N4/8/PPPPPPPP/RNBQKB1R w KQkq -,d4b3 d7d5 e2e3 e7e5 f1e2 f8d6 d2d3 c6e7 c2c4 c7c6,-108
rn1qk2r/pppbbppp/4pn2/6B1/2B5/2NP1N2/PPP2PPP/R2QK2R w KQkq -,d3d4 e8h8 e1h1 d7c6 g5e3 b8d7 a2a4 e7d6 h2h3 a7a6,44
rnbq1rk1/pp1p1ppp/2p1pn2/8/2PP4/2P1PN2/P4PPP/R1BQKB1R w KQ -,f1d3 d7d5 c1a3 f8e8 e1h1 b7b6 c4d5 e6d5 c3c4 c8a6,82
8/6k1/8/3B4/5K1N/8/8/8 w - -,f4g5 g7h7 g5f6 h7h8 d5c4 h8h7 h4f3 h7h8 f3e5 h8h7,20000
rnbqkb1r/pp3ppp/5n2/3pp3/8/P1N3P1/1P1PPP1P/R1BQKBNR w KQkq -,c3b1 f8c5 f1g2 e8h8 b1c3 b8c6 b2b4 c5e7 d2d3 c8e6,-178
r1bqk2r/pp2npbp/2np2p1/2pNp3/4P3/3PBN2/PPP1BPPP/R2QK2R w KQkq -,a1b1 e7d5 e4d5 c6e7 c2c4 a7a5 a2a3 b7b5 b2b4 c5b4,-112
r1b1kbnr/pppp1ppp/2n5/2q5/2BpP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,c4d5 g8e7 f1e1 g7g6 b2b4 c5b4 c2c3 b4a5 c1d2 f8g7,154
r2qkbnr/pp1n1pp1/4p2p/2ppPb2/3P4/1P3N2/P1P1BPPP/RNBQ1RK1 w kq -,c2c4 d5c4 b1c3 g8e7 b3c4 a7a6 c1e3 g7g5 d1b3 g5g4,96
r1bqk2r/pppnbppp/3p1n2/4p3/4P3/2N2NP1/PPPP1PBP/R1BQK2R w KQkq -,e1h1 e8h8 a2a4 c7c6 f1e1 f8e8 d2d4 h7h6 b2b3 e7f8,66
r1bqkb1r/pp3ppp/2n1pn2/2ppN3/8/1P2P3/PBPP1PPP/RN1QKB1R w KQkq -,a2a4 c6e5 b2e5 f8e7 f1b5 c8d7 e1h1 e8h8 e5b2 a7a6,-33
8/8/2KBBk2/8/8/8/8/8 w - -,a2a4 c6e5 b2e5 f8e7 f1b5 c8d7 e1h1 e8h8 e5b2 a7a6,Mate
8/8/8/8/1K1k4/1BN5/8/8 w - -,c3a2 d4e4 b4c4 e4f5 c4d4 f5f6 d4e4 f6g7 e4f5 g7f8,20000
r1bqk1nr/pp3pp1/2np3p/2b1p3/2B1P3/5N2/PPP2PPP/RNBQ1RK1 w kq -,d1d3 g8f6 b1c3 e8h8 c1e3 c8g4 e3c5 d6c5 d3e3 d8d6,-13
rnbk1b1r/ppp2pp1/5n1p/4p3/2P1P3/2N5/PP3PPP/R1B1KBNR w KQ -,g1f3 b8c6 h2h3 f8b4 c1d2 c8e6 a2a3 b4c3 d2c3 f6e4,-54
rnbqk1nr/p3ppbp/2pp2p1/1p6/2BPP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,c4b5 c6b5 d1e2 b8c6 e2b5 c8d7 b5d3 g8f6 h2h3 d8c8,-290
8/8/8/3k4/8/2K5/3N4/5B2 w - -,f1d3 d5e5 d3c4 e5f6 c3d4 f6g7 d2e4 g7g6 c4d3 g6g7,5256
r1b1kbnr/ppppq1pp/2n5/3Qp3/8/2N2N2/PPP1PPPP/R1B1KB1R w KQkq -,e2e4 g8f6 d5d1 e7d8 c3d5 c6b4 d5e3 f8c5 f3e5 d8e7,92
r1b1kb1r/ppppq2p/2n2p2/3Qp3/8/2N2N2/PPP1PPPP/R3KB1R w KQkq -,e2e4 e7e6 a2a3 c6e7 d5d3 f8h6 f3h4 d7d6 f1e2 h6g5,63
8/8/8/8/8/6k1/3NK3/5B2 w - -,e2e3 g3g4 f1d3 g4h5 d2f3 h5h6 d3c4 h6g6 e3f4 g6f6,8194
r3kbnr/ppp1pppp/8/4q3/3n2b1/2N3P1/PPPPNPBP/R1BQK2R w KQkq -,h2h3 g4f3 g2f3 d4f3 e1f1 e5f5 d2d3 e7e5 e2g1 f3d4,-66
r1bqk2r/pp1pnpbp/2n1p1p1/1Bp5/4P3/P1N2N1P/1PPP1PP1/R1BQK2R w KQkq -,b5c6 e7c6 d2d3 d7d6 c1e3 e8h8 d1d2 c6d4 e1a1 e6e5,-77
rnbqkb1r/pp3ppp/5n2/3p4/4p3/1BP2N2/PP1P1PPP/RNBQK2R w KQkq -,f3e5 f8d6 d2d4 b8c6 c1f4 e8h8 e1h1 f8e8 c3c4 c6e5,-130
rn1qk2r/pp3pp1/2pbpn1p/3p1b2/2PP1B2/4PN1P/PP1N1PP1/R2QKB1R w KQkq -,f4d6 d8d6 d1b3 d6c7 f1e2 e8h8 e1h1 a7a5 f1c1 f8c8,37
8/8/8/8/3K4/pk6/8/8 w - -,g2g4 f5h7 f4d6 d8d6 d1b3 d6e7 f3e5 a7a5 f1d3 a5a4,Mate
rn1qkb1r/pp2pppp/2p2n2/3p4/3P4/4Pb1P/PPPN1PP1/R1BQKB1R w KQkq -,d2e4 f3d1 e4f6 g7f6 e1d1 f8g7 c1d2 e8h8 d1c1 d8d6,-1117
r1bq1rk1/ppp2ppp/2n1pn2/3p4/1b1P4/1P2PN2/PBPN1PPP/R2QKB1R w KQ -,f1d3 b4d2 f3d2 f8e8 d2f3 b7b6 e1h1 c8b7 f1e1 d8e7,102
r1bq1rk1/ppp2ppp/2n2n2/2bpp3/2BPP3/2N2N2/PPP2PPP/R1BQ1RK1 w - -,c3d5 e5d4 c1g5 c5e7 d5e7 d8e7 c4d5 h7h6 g5h4 e7d6,125
rnbqk2r/pppp1ppp/5n2/2bPN3/8/2P2Q2/PP3PPP/RNB1KB1R w KQkq -,e5d3 d8e7 f1e2 d7d6 d3c5 c8g4 f3e3 e7e3 c1e3 g4e2,74
4r1k1/1b3p1p/ppq3p1/2p5/8/1P1P1R1Q/PBP3PP/7K w - -,c3c4 c5b4 c1d2 b4d2 b1d2 d7d6 e5d3 e8h8 h2h3 c7c6,Mate
8/7k/4N3/5K2/2B5/8/8/8 w - -,c3c4 c5b4 c1d2 b4d2 b1d2 d7d6 e5d3 e8h8 h2h3 c7c6,Mate
rnbqkbnr/p4ppp/3pp3/2p5/2B1P3/5N2/PPP2PPP/RNBQK2R w KQkq -,c4d5 e6d5 d1d5 b8c6 d5c6 c8d7 c6a6 g8f6 b1c3 f8e7,172
r2qkbnr/pQ1npppp/3p4/2p5/4P3/5N2/PPP2PPP/RNB1KB1R w KQkq -,b1c3 a8b8 b7a7 b8a8 a7b7 a8b8 b7c6 g7g6 e4e5 b8b6,775
rn1qkbnr/pp2p2b/2p1p2p/3p2p1/3P3N/3B4/PPP2PPP/RNBQK2R w KQkq -,h4g6 h7g6 d3g6 e8d7 b1d2 f8g7 d2f3 d7c7 d1e2 b8d7,211
r1bqkbnr/pp3ppp/8/2P5/1nPp4/5N2/P4PPP/RNBQKB1R w KQkq -,f1e2 d4d3 e1h1 d3e2 d1e2 c8e6 f1d1 d8c8 c1b2 g8f6,-168
8/8/1kBQ4/8/4K3/8/8/8 w - -,f1e2 d4d3 e1h1 d3e2 d1e2 c8e6 f1d1 d8c8 c1b2 g8f6,Mate
rn1qkb1r/ppp1pppp/8/3n1b2/8/6P1/PPPP1PBP/RNBQK1NR w KQkq -,g1f3 h7h6 e1h1 e7e6 d2d4 c7c6 a2a3 d5b6 b2b3 f8e7,86
rnbqkbnr/1pp1pp1p/p2p2p1/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq -,b1c3 f8g7 e2e4 c8g4 f1e2 b8c6 f4e3 e7e5 d4d5 g4f3,76
rnbqkbnr/pppp2pp/8/4p3/3p4/5N2/PPP2PPP/RNBQKB1R w KQkq -,d1e2 d7d6 f3d4 f8e7 d4f3 g8f6 b1c3 e8h8 c1g5 c8e6,-231
rn1q1rk1/ppp2pp1/4pn1p/2bp1b2/8/3P1NP1/PPPNPPBP/R1B1QRK1 w - -,f3e5 f5h7 e2e4 a7a5 a2a4 b8a6 e1e2 c5d4 e5g4 f6g4,-21
8/8/2BB4/3K4/8/1k6/8/8 w - -,f3e5 f5h7 e2e4 a7a5 a2a4 b8a6 e1e2 c5d4 e5g4 f6g4,Mate
r1bqkb1r/4pppp/p1p2n2/3p4/3P1B2/2N5/PPP2PPP/R2QK1NR w KQkq -,a1b1 a6a5 g1f3 c8a6 f3e5 e7e6 e5c6 d8b6 c6e5 f8d6,-53
rnbqkb1r/pp2pppp/3p1n2/3N4/3pP3/5N2/PPPB1PPP/R2QKB1R w KQkq -,d5f6 g7f6 f3d4 d8b6 d4b5 a7a6 b5c3 e7e6 d2e3 b6c7,155
r2qkbnr/pbp2ppp/1pnpp3/4P3/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,c1f4 d6e5 f4e5 c6e5 f3e5 a7a6 f1e2 b7g2 h1g1 g2d5,-28
8/8/2BB4/4K3/8/8/3k4/8 w - -,c1f4 d6e5 f4e5 c6e5 f3e5 a7a6 f1e2 b7g2 h1g1 g2d5,Mate
8/8/6k1/1B2K3/8/2Q5/8/8 w - -,c1f4 d6e5 f4e5 c6e5 f3e5 a7a6 f1e2 b7g2 h1g1 g2d5,Mate
rn1qkb1r/ppp1ppp1/5n2/3p3p/3P1B2/4P2P/PPP1bPP1/RN1QK1NR w KQkq -,d1e2 e7e6 g1f3 b8d7 c2c4 d5c4 e2c4 f6d5 f4h2 f8d6,60
rn1qkb1r/pp2pppp/2p2n2/3p4/3P4/1P1bPN2/P1P2PPP/RNBQK2R w KQkq -,c2c4 d5c4 f3e5 b8d7 e5d3 c4d3 e1h1 e7e6 c1b2 f8e7,-890
rnbqk1nr/2p1ppbp/p2p2p1/1p6/3P1B2/3BPN2/PPP2PPP/RN1QK2R w KQkq -,e1h1 g8f6 a2a4 b5b4 e3e4 e8h8 f1e1 a6a5 b1d2 c8b7,72
r1b1kb1r/ppppqppp/2n5/4p3/2BPn3/2P2N2/PP3PPP/RNBQK2R w KQkq -,e1h1 d7d6 f1e1 e4f6 f3g5 c6d8 b1d2 h7h6 g5f3 f6d7,162
rn1qkb1r/ppp3pp/3ppn2/5b2/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1d3 f5d3 d1d3 d8d7 e1h1 b8c6 f1e1 e8a8 a2a3 d6d5,137
