8/1k1K4/2R5/8/8/8/8/8 w - -,e2e3 c7c5 b1d2 b8c6 c1b2 e7e6 f1e2 f8d6 f3h4 e8h8,Mate
r1bqkb1r/3npppp/p2p1n2/1p6/3NP3/2NBB3/PPP2PPP/R2QK2R w KQkq -,a2a4 b5a4 a1a4 d7c5 a4c4 c8d7 e1h1 c5d3 c2d3 e7e6,84
r2qk1nr/ppp1ppbp/2n3p1/3pPb2/3P1P2/5N2/PPP3PP/RNBQKB1R w KQkq -,c2c3 h7h5 c1e3 e7e6 b1d2 a7a6 f1e2 g8h6 e3f2 g7f8,114
rnbq1rk1/ppp1bppp/4p3/8/2PPpB2/4PN2/PP3PPP/R2QKB1R w KQ -,c4c5 e4f3 d1f3 b8c6 e1a1 e6e5 d4e5 d8e8 f3e4 e7c5,-517
r1b1kbnr/pp1n1ppp/1q2p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQK2R w KQkq -,e1h1 g8e7 b1d2 a7a5 d4c5 d7c5 d3c2 e7c6 f1e1 f8e7,131
rnbqk1nr/ppp1ppbp/3p4/4P1p1/3P4/8/PPP2PPP/RNBQKBNR w KQkq -,e5d6 d8d6 c2c3 c7c5 b1a3 c5d4 a3b5 d6b6 b5d4 g8f6,44
rnbqk2r/pp1pbppp/1n2p3/2p1P1B1/2PP4/5N2/PP3PPP/RN1QKB1R w KQkq -,g5e7 d8e7 b1c3 c5d4 d1d4 b8c6 d4e3 e8h8 e1a1 a8b8,222
rnbqk2r/1p3ppp/p4n2/4p1B1/1b1pP3/2NB1N2/PPP2PPP/R2QK2R w KQkq -,d3e2 d4c3 d1d8 e8d8 e1a1 d8c7 a2a3 c3b2 c1b2 b4a5,-579
3q1rk1/pr2bppp/4pn2/2p5/2pPP3/2N3P1/PP3P1P/R1BQ1RK1 w - -,c3e2 c5d4 d1d4 d8d4 e2d4 f6e4 d4c6 e7f6 f1e1 e4c5,-188
rnbqk2r/1p3ppp/p4n2/b3p1B1/3pP3/P1NB1N2/1PP2PPP/R2QK2R w KQkq -,f3d4 e5d4 b2b4 d4c3 b4a5 d8a5 g5f6 g7f6 d1f3 a5e5,-613
r1b1k2r/pppn1pp1/3bpq1p/8/3P4/3B1N2/PPP1QPPP/R1B1K2R w KQkq -,c1e3 a7a6 h2h4 b7b5 d3e4 a8b8 g2g4 f6e7 g4g5 h6g5,151
3K4/8/3k4/8/2BB4/8/8/8 w - -,a2a3 a8b8 c1d2 b7b6 e1a1 c8b7 c1b1 e8h8 h2h4 e6e5,Mate
r1bqk2r/p3bppp/2pp1n2/2p1p3/4P3/2NP1N1P/PPP2PP1/R1BQK2R w KQkq -,a2a3 a8b8 b2b3 d8c7 e1h1 e8h8 c1b2 d6d5 c3e2 e7d6,-48
rn1qkb1r/pbpppppp/1p3n2/8/2PP4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,c1g5 e7e6 f1d3 h7h6 g5f4 f8b4 e1h1 b4c3 b2c3 d7d6,-95
rnbqk1nr/ppp2pp1/4p2p/8/1b1P4/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,f3e5 g8f6 a2a3 b4a5 e1h1 e8h8 c3a4 c7c6 c2c4 b8d7,176
