8/3R4/5K2/8/8/2k5/8/8 w - -,b5c6 b7c6 f1d1 c6c5 c2c3 f8e7 c3d4 c5d4 d1d4 e7f6,Mate
rnb1kb1r/ppp2ppp/1q3n2/4N3/2BPp3/8/PPPB1PPP/RN1QK2R w KQkq -,c4f7 e8d8 e1h1 b6d4 f7b3 d8e8 e5f7 h8g8 c2c3 d4d3,659
8/2RR4/8/8/1k6/4K3/8/8 w - -,d2f4 c8e6 d4d5 e6d7 c4b3 b6a6 g2g4 h7h6 b1c3 f8d6,Mate
rnbqk2r/pp1pppbp/2p2np1/8/2B1P3/2NP4/PPP2PPP/R1BQK1NR w KQkq -,c4b3 d7d6 f2f4 e8h8 g1f3 c6c5 e1h1 b8c6 h2h3 e7e6,44
r1bqkb1r/ppp2ppp/2np1n2/8/3pP3/2P2N2/PP2BPPP/RNBQK2R w KQkq -,c3d4 d6d5 e4e5 f6e4 e1h1 f8e7 f3e1 f7f6 f2f3 e4g5,110
8/1Q6/4B3/2k5/8/4K3/8/8 w - -,d1d3 d4c3 b1c3 f8e7 e1h1 e8h8 d3c2 c6b4 c2b1 f8e8,Mate
r1bqkbnr/pp3ppp/2np4/2p1p3/8/1P2P2P/PBPP1PP1/RN1QKBNR w KQkq -,a2a3 d6d5 g1f3 f7f6 d2d4 c5d4 e3d4 e5e4 f3d2 f6f5,-68
rn1qkbnr/ppp3pp/3p1p2/3Pp3/4P1b1/5N2/PPP2PPP/RNBQKB1R w KQkq -,h2h3 g4d7 c1e3 g7g6 d1d2 f6f5 g2g3 f8g7 b1c3 d8f6,186
3Q4/8/8/2k5/3N4/4K3/8/8 w - -,b1c3 b8d7 h2h3 g4h5 c1e3 g8e7 d1d3 a7a6 e1a1 b7b5,Mate
8/4Q3/8/8/2kN4/4K3/8/8 w - -,b1c3 b8d7 h2h3 g4h5 c1e3 g8e7 d1d3 a7a6 e1a1 b7b5,Mate
r2qkbnr/ppp2ppp/3pb3/4n3/2P5/2N1P3/PP3PPP/R1BQKBNR w KQkq -,f2f4 e5c6 g1f3 g7g6 f1d3 f8g7 e1h1 g8f6 e3e4 e8h8,77
rnb1kb1r/ppqppppp/5n2/2p5/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq -,b1c3 e7e6 g1f3 a7a6 e1h1 f8e7 d2d4 c5d4 d1d4 d7d6,95
r2qk2r/pp2bppp/2n1pn2/2pp4/3P2b1/2P1PN2/PP1NBPPP/R1BQ1RK1 w kq -,d4c5 e7c5 b2b4 g4f3 d2f3 c5d6 c1b2 e8h8 a2a3 a7a5,32
r2qkb1r/1b1n1ppp/p3pn2/1pppN3/3P4/1P1BP3/PBPN1PPP/R2Q1RK1 w kq -,e5d7 d8d7 d4c5 f8c5 d1e2 e8h8 a2a4 b5b4 b2f6 g7f6,69
