8/8/1B6/1k6/2N1K3/8/8/8 w - -,e4d5 b5a6 b6g1 a6b7 g1h2 b7a7 d5c6 a7a8 c4b6 a8a7,7807
r2qkbnr/pp1b1ppp/2n1p3/3p4/Q4B2/2N2N2/PPP1PPPP/R3KB1R w KQkq -,f4g3 f8b4 e1a1 g8f6 g3h4 d8b6 e2e3 b4c3 b2c3 f6e4,-116
rnbqk2r/pp1ppp1p/5np1/8/3NP3/8/PPP2PPP/RN1QKB1R w KQkq -,b1c3 b8c6 d1d2 d8b6 e1a1 d7d6 f1c4 b6d4 d2d4 c6d4,87
r1bq1rk1/1ppnppbp/p2p1np1/6B1/2B1P3/2NP1N2/PPP2PPP/R2Q1RK1 w - -,d1d2 b7b5 c4b3 d7c5 h2h3 c8b7 f1e1 c5b3 a2b3 c7c5,31
r2qkbnr/pp1bpppp/2n5/1BPpP3/8/2P5/PP3PPP/RNBQK1NR w KQkq -,b5c6 d7c6 e5e6 f7e6 g1f3 g7g6 c1e3 f8g7 e3d4 g8f6,206
r1bqk2r/ppp1npb1/2np2pp/4p3/2B1P3/2NP1N1P/PPP2PP1/R1BQ1RK1 w kq -,c3d5 e8h8 a2a4 e7d5 c4d5 g8h7 c2c3 f7f5 f1e1 a7a5,5
rn1q1rk1/pbpp1pbp/1p2pnp1/8/3P1P2/3BPN2/PPPN2PP/R1BQ1RK1 w - -,f1e1 c7c5 d4c5 b6c5 e3e4 d7d6 e4e5 d6e5 f4e5 f6d7,-39
8/5k2/8/8/8/7P/4BK1P/8 w - -,e2c4 f7g6 f2f3 g6g7 h3h4 g7h7 f3f4 h7g7 f4g4 g7h8,13
8/8/1Pk4K/7P/8/8/8/8 w - -,e2c4 f7g6 f2f3 g6g7 h3h4 g7h7 f3f4 h7g7 f4g4 g7h8,Mate
rnbq1rk1/pp2ppbp/5np1/3p2B1/2BP4/2N2N2/PPP2PPP/R2QK2R w KQ -,c4f1 f6e4 g5e3 b8c6 f1d3 d8a5 e1h1 e4c3 b2c3 a5c3,-159
5k2/2R5/r7/5PK1/8/8/8/8 w - -,,0
r3kb1r/ppp1qppp/2npbn2/4p3/4P3/1BN2N2/PPPP1PPP/R1BQ1RK1 w kq -,d2d4 c6d4 f3d4 e5d4 d1d4 e7d7 c1g5 f8e7 a1d1 e8h8,135
8/3Q4/8/4k3/6K1/8/8/8 w - -,d2d4 c6d4 f3d4 e5d4 d1d4 e7d7 c1g5 f8e7 a1d1 e8h8,Mate
rnb1k2r/pp1pppbp/5np1/q1pP4/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq -,c1d2 d7d6 h2h3 e8h8 g1f3 a5d8 f1d3 f6e8 d1c2 b8d7,162
